R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Keller Ryan;ZSC Lions;Stürmer;18;11;3;3;0;4;10;1;1;1;0;1
2;Sprunger Julien;Fribourg-Gottéron;Stürmer;10;6;4;2;2;1;3;1;3;2;0;1
3;Picard Alexandre;Genève-Servette HC;Stürmer;11;6;2;1;1;1;5;2;1;0;0;0
4;Santala Tommi;Kloten Flyers;Stürmer;16;5;9;4;5;0;3;4;0;5;2;0
5;Daugavins Kaspars;Genève-Servette HC;Stürmer;12;5;8;4;4;2;5;6;0;1;0;1
6;Shannon Ryan;ZSC Lions;Stürmer;18;5;7;2;5;0;2;6;0;1;3;0
7;Cunti Luca;ZSC Lions;Stürmer;18;5;5;1;4;2;3;3;2;2;0;0
8;Mauldin Greg;Fribourg-Gottéron;Stürmer;10;5;3;2;1;1;2;3;2;0;1;0
9;Bürgler Dario;HC Davos;Stürmer;6;5;1;1;0;0;2;1;3;0;0;0
10;Bieber Matthias;Kloten Flyers;Stürmer;16;4;4;2;2;1;1;3;3;1;0;0
11;Stancescu Victor;Kloten Flyers;Stürmer;16;4;2;2;0;2;3;1;1;1;0;0
12;Simek Juraj;Genève-Servette HC;Stürmer;12;4;2;1;1;1;4;2;0;0;0;0
13;Bang Daniel;Lausanne HC;Stürmer;7;4;2;1;1;0;2;2;2;0;0;0
14;Kenins Ronalds;ZSC Lions;Stürmer;18;4;0;0;0;0;4;0;0;0;0;0
15;Lombardi Matthew;Genève-Servette HC;Stürmer;12;3;6;5;1;0;2;6;0;0;1;0
16;Wick Roman;ZSC Lions;Stürmer;18;3;6;3;3;0;2;5;1;1;0;0
17;Bärtschi Patrik;ZSC Lions;Stürmer;18;3;5;5;0;1;2;4;1;1;0;0
18;Hytönen Juha-Pekka;Lausanne HC;Stürmer;7;3;5;2;3;1;1;3;2;2;0;0
19;Romy Kevin;Genève-Servette HC;Stürmer;12;3;3;2;1;0;1;3;2;0;0;0
20;Hagman Niklas;Fribourg-Gottéron;Stürmer;10;3;3;2;1;0;0;2;3;1;0;0
21;Bykov Andrey;Fribourg-Gottéron;Stürmer;10;3;3;2;1;2;0;0;1;3;2;0
22;Lemm Romano;Kloten Flyers;Stürmer;16;3;3;1;2;1;2;3;1;0;0;0
23;Blum Eric-Ray;Kloten Flyers;Verteidiger;15;3;3;1;2;1;3;1;0;2;0;0
24;Steinmann Janick;Kloten Flyers;Stürmer;16;3;2;2;0;2;3;2;0;0;0;0
25;Liniger Michael;Kloten Flyers;Stürmer;14;3;2;0;2;0;2;2;1;0;0;0
26;Paulsson Marcus;HC Davos;Stürmer;6;3;1;1;0;1;2;1;1;0;0;0
27;Antonietti Benjamin;Lausanne HC;Stürmer;7;3;1;1;0;0;3;1;0;0;0;0
28;Rivera Christopher;Genève-Servette HC;Stürmer;12;3;0;0;0;1;3;0;0;0;0;0
29;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;10;2;7;4;3;1;2;3;0;4;0;0
30;Bergeron Marc-André;ZSC Lions;Verteidiger;14;2;6;4;2;2;0;4;2;1;0;1
31;Kamerzin Jérémie;Fribourg-Gottéron;Verteidiger;9;2;6;3;3;1;0;1;2;4;0;1
32;Bodenmann Simon;Kloten Flyers;Stürmer;13;2;4;4;0;1;1;3;1;1;0;0
33;Bastl Mark;ZSC Lions;Stürmer;18;2;4;3;1;1;2;3;0;1;0;0
34;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;10;2;3;3;0;0;1;1;1;2;0;0
35;Fritsche Dan;ZSC Lions;Stürmer;18;2;3;1;2;0;1;3;0;0;1;0
36;Nilsson Robert;ZSC Lions;Stürmer;18;2;2;2;0;0;2;2;0;0;0;0
37;Seger Mathias;ZSC Lions;Verteidiger;17;2;1;1;0;0;2;1;0;0;0;0
38;Mueller Peter;Kloten Flyers;Stürmer;10;2;1;1;0;0;1;1;1;0;0;0
39;Baltisberger Chris;ZSC Lions;Stürmer;17;2;1;0;1;0;2;1;0;0;0;0
40;Vauclair Tristan;Fribourg-Gottéron;Stürmer;10;2;0;0;0;0;1;0;0;0;1;0
41;Giroux Alexandre;HC Ambri-Piotta;Stürmer;4;2;0;0;0;0;1;0;1;0;0;0
42;Dubé Christian;Fribourg-Gottéron;Stürmer;10;1;6;3;3;0;1;0;0;5;0;1
43;Vukovic Daniel;Genève-Servette HC;Verteidiger;12;1;4;3;1;0;1;4;0;0;0;0
44;Plüss Benny;Fribourg-Gottéron;Stürmer;10;1;4;3;1;0;0;1;1;3;0;0
45;Trachsler Morris;ZSC Lions;Stürmer;15;1;4;2;2;0;1;3;0;0;0;1
46;Marti Christian;Genève-Servette HC;Verteidiger;12;1;4;2;2;0;1;3;0;1;0;0
47;Dupont Micki;Kloten Flyers;Verteidiger;16;1;4;2;2;0;1;1;0;3;0;0
48;Hennessy Josh;Kloten Flyers;Stürmer;6;1;3;3;0;0;1;1;0;2;0;0
49;Bühler Cyrill;Kloten Flyers;Stürmer;16;1;3;3;0;0;1;3;0;0;0;0
50;Hollenstein Denis;Genève-Servette HC;Stürmer;12;1;3;2;1;1;1;2;0;1;0;0
51;Blindenbacher Severin;ZSC Lions;Verteidiger;18;1;3;2;1;0;1;2;0;1;0;0
52;Rod Noah;Genève-Servette HC;Stürmer;12;1;3;1;2;0;1;3;0;0;0;0
53;Pettersson Fredrik;HC Lugano;Stürmer;5;1;3;1;2;0;1;0;0;3;0;0
54;Sannitz Raffaele;HC Lugano;Stürmer;5;1;2;2;0;0;0;2;1;0;0;0
55;Petrell Lennart;Genève-Servette HC;Stürmer;12;1;2;2;0;0;1;2;0;0;0;0
56;Monnet Thibaut;Fribourg-Gottéron;Stürmer;9;1;2;1;1;0;1;2;0;0;0;0
57;Jenni Marcel;Kloten Flyers;Stürmer;15;1;2;1;1;0;1;2;0;0;0;0
58;Helbling Timo;Fribourg-Gottéron;Verteidiger;10;1;2;0;2;0;1;2;0;0;0;0
59;Forster Beat;HC Davos;Verteidiger;6;1;2;0;2;1;0;1;1;1;0;0
60;Von Gunten Patrick;Kloten Flyers;Verteidiger;14;1;1;1;0;0;0;0;1;1;0;0
61;Setzinger Oliver;Lausanne HC;Stürmer;7;1;1;1;0;1;1;0;0;1;0;0
62;Ruefenacht Thomas;HC Lugano;Stürmer;5;1;1;1;0;0;1;0;0;1;0;0
63;Reichert Marc;HC Ambri-Piotta;Stürmer;4;1;1;1;0;0;1;0;0;1;0;0
64;Pestoni Inti;HC Ambri-Piotta;Stürmer;4;1;1;1;0;0;1;1;0;0;0;0
65;Irmen Danny;HC Lugano;Stürmer;4;1;1;1;0;0;0;0;1;1;0;0
66;Ambühl Andres;HC Davos;Stürmer;4;1;1;1;0;0;1;0;0;1;0;0
67;Stoffel Andri;ZSC Lions;Verteidiger;18;1;1;0;1;0;1;0;0;1;0;0
68;Girardin Lionel;Genève-Servette HC;Verteidiger;11;1;1;0;1;0;1;1;0;0;0;0
69;Vandermeer James;Kloten Flyers;Verteidiger;16;1;0;0;0;0;1;0;0;0;0;0
70;Ulmer Stefan;HC Lugano;Verteidiger;5;1;0;0;0;1;0;0;1;0;0;0
71;Steiner Daniel;HC Ambri-Piotta;Stürmer;4;1;0;0;0;0;1;0;0;0;0;0
72;Schlumpf Dominik;HC Lugano;Verteidiger;4;1;0;0;0;0;0;0;1;0;0;0
73;Park Richard;HC Ambri-Piotta;Stürmer;4;1;0;0;0;0;1;0;0;0;0;0
74;Mottet Killian;Fribourg-Gottéron;Stürmer;9;1;0;0;0;0;1;0;0;0;0;0
75;Huguenin Anthony;Fribourg-Gottéron;Verteidiger;10;1;0;0;0;0;0;0;1;0;0;0
76;Deruns Thomas;Lausanne HC;Stürmer;7;1;0;0;0;1;1;0;0;0;0;0
77;Berthon Eliot;Genève-Servette HC;Stürmer;12;1;0;0;0;0;1;0;0;0;0;0
78;McCarthy Steve;ZSC Lions;Verteidiger;18;0;5;4;1;0;0;4;0;1;0;0
79;Almond Cody;Genève-Servette HC;Stürmer;12;0;5;2;3;0;0;4;0;1;0;0
