R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Taticek Petr;HC Davos;Stürmer;14;7;8;3;5;1;4;3;3;5;0;0
2;Casutt Corsin;EV Zug;Stürmer;10;7;2;1;1;0;3;1;4;1;0;0
3;Rüthemann Ivo;SC Bern;Stürmer;11;6;6;4;2;1;5;4;1;2;0;0
4;Bürgler Dario;HC Davos;Stürmer;14;6;5;3;2;0;4;2;2;3;0;0
5;Plüss Martin;SC Bern;Stürmer;11;6;4;2;2;2;4;3;2;1;0;0
6;Bell Mark;Kloten Flyers;Stürmer;18;6;3;2;1;2;3;3;3;0;0;0
7;Stancescu Victor;Kloten Flyers;Stürmer;17;6;2;1;1;2;5;2;1;0;0;0
8;Bednar Jaroslav;HC Davos;Stürmer;12;5;12;9;3;0;3;4;2;8;0;0
9;Walsky Eric;Genève-Servette HC;Stürmer;6;5;5;5;0;1;4;1;1;3;0;1
10;Marha Josef;HC Davos;Stürmer;9;5;3;2;1;0;3;0;2;2;0;1
11;Monnet Thibaut;ZSC Lions;Stürmer;5;5;1;0;1;1;3;0;2;1;0;0
12;Santala Tommi;Kloten Flyers;Stürmer;16;4;7;4;3;1;2;1;2;6;0;0
13;Brunner Damien;EV Zug;Stürmer;8;4;4;3;1;1;2;2;1;2;1;0
14;Forster Beat;HC Davos;Verteidiger;14;4;4;1;3;1;1;1;3;2;0;1
15;Guggisberg Peter;HC Davos;Stürmer;14;4;3;3;0;2;1;3;3;0;0;0
16;Bezina Goran;Genève-Servette HC;Verteidiger;6;4;3;1;2;0;2;0;1;2;1;1
17;Gamache Simon;SC Bern;Stürmer;7;4;2;0;2;1;2;1;2;1;0;0
18;Jinman Lee;HC Davos;Stürmer;5;4;1;1;0;2;4;0;0;1;0;0
19;Steinmann Janick;HC Davos;Stürmer;13;4;0;0;0;0;2;0;2;0;0;0
20;Liniger Michael;Kloten Flyers;Stürmer;18;3;4;3;1;2;3;3;0;1;0;0
21;Vermin Joël;SC Bern;Stürmer;11;3;3;3;0;1;2;2;1;1;0;0
22;Dupont Micki;Kloten Flyers;Verteidiger;7;3;3;2;1;0;1;2;1;1;1;0
