R;Spieler;Team;Pos;GP;G;A;A1;A2;GWG;EQG;EQA;PPG;PPA;SHG;SHA
1;Bärtschi Patrik;ZSC Lions;Stürmer;15;9;2;2;0;1;9;2;0;0;0;0
2;Rüthemann Ivo;SC Bern;Stürmer;17;7;4;3;1;1;6;2;0;2;1;0
3;Dumont Jean-Pierre;SC Bern;Stürmer;14;6;8;2;6;1;3;5;3;3;0;0
4;Plüss Martin;SC Bern;Stürmer;17;6;4;3;1;0;2;2;4;1;0;1
5;Ambühl Andres;ZSC Lions;Stürmer;15;5;9;6;3;2;3;7;1;2;1;0
6;Monnet Thibaut;ZSC Lions;Stürmer;15;5;8;6;2;3;4;5;1;3;0;0
7;Holden Josh;EV Zug;Stürmer;9;5;6;4;2;0;2;5;3;1;0;0
8;Metropolit Glen;EV Zug;Stürmer;9;5;6;3;3;0;3;2;2;4;0;0
9;Pittis Domenico;ZSC Lions;Stürmer;13;5;5;3;2;1;2;1;3;4;0;0
10;Tambellini Jeff;ZSC Lions;Stürmer;15;4;8;6;2;1;3;6;0;1;1;1
11;Berger Pascal;SC Bern;Stürmer;17;4;6;5;1;2;3;3;1;3;0;0
12;Gardner Ryan;SC Bern;Stürmer;17;4;6;4;2;1;1;2;3;4;0;0
13;Bastl Mark;ZSC Lions;Stürmer;15;4;3;1;2;1;2;3;2;0;0;0
14;Gamache Simon;Fribourg-Gottéron;Stürmer;11;4;2;0;2;2;3;2;0;0;0;0
15;Schäppi Reto;ZSC Lions;Stürmer;15;4;1;0;1;0;4;1;0;0;0;0
16;Spylo Ahren;EHC Biel;Stürmer;5;4;0;0;0;0;1;0;3;0;0;0
17;Brunner Damien;EV Zug;Stürmer;9;3;11;7;4;1;2;6;1;5;0;0
18;Froidevaux Etienne;SC Bern;Stürmer;17;3;5;2;3;1;3;4;0;1;0;0
19;Rosa Pavel;Fribourg-Gottéron;Stürmer;8;3;3;1;2;0;3;1;0;2;0;0
20;Dubé Christian;Fribourg-Gottéron;Stürmer;11;3;3;1;2;0;1;3;2;0;0;0
21;Bykov Andrey;Fribourg-Gottéron;Stürmer;11;3;2;2;0;0;2;2;1;0;0;0
22;Stancescu Victor;Kloten Flyers;Stürmer;5;3;2;1;1;1;1;1;1;1;1;0
23;Murray Brady;HC Lugano;Stürmer;6;3;2;1;1;0;3;2;0;0;0;0
24;Beaudoin Eric;EHC Biel;Stürmer;5;3;2;0;2;0;2;0;1;2;0;0
25;Reuille Sebastien;HC Lugano;Stürmer;6;3;1;1;0;0;3;1;0;0;0;0
