Spieler,Pos,Team,year,GP,G,A,PTS,P/GP,PIM Total,+/-,Number of year,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,SOG,S%,SOG/GP,2' ,5',10',GM,MP
Ramholt Tim,Verteidiger,EV Zug,14-15,6,0,0,0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,12,0,2.0,0,0,0,0,0
Ramholt Tim,Verteidiger,EV Zug,15-16,4,0,1,1,0.25,2,0,1,1,0,0,0,1,0,0,0,0,5,0,1.25,1,0,0,0,0
Ramholt Tim,Verteidiger,HC Davos,09-10,6,0,2,2,0.33,4,-5,1,0,2,0,0,2,0,0,0,0,6,0,1.0,2,0,0,0,0
Ramholt Tim,Verteidiger,HC Davos,10-11,14,1,4,5,0.36,10,11,1,2,2,0,0,4,1,0,0,0,15,6.67,1.07,5,0,0,0,0
Ramholt Tim,Verteidiger,HC Davos,11-12,4,0,0,0,0.0,4,-1,1,0,0,0,0,0,0,0,0,0,4,0,1.0,2,0,0,0,0
Ramholt Tim,Verteidiger,HC Davos,12-13,7,0,0,0,0.0,8,-1,1,0,0,0,0,0,0,0,0,0,10,0,1.43,4,0,0,0,0
Rampazzo Ruben,Verteidiger,HC Davos,15-16,5,0,0,0,0.0,0,-2,1,0,0,0,0,0,0,0,0,0,1,0,0.2,0,0,0,0,0
Randegger Flurin,Verteidiger,Genève-Servette HC,10-11,6,1,0,1,0.17,2,-5,1,0,0,0,0,0,1,0,0,0,14,7.14,2.33,1,0,0,0,0
Randegger Flurin,Verteidiger,SC Bern,12-13,20,0,2,2,0.1,12,-2,1,2,0,0,0,0,0,2,0,0,22,0,1.1,6,0,0,0,0
Randegger Flurin,Verteidiger,SC Bern,14-15,10,0,1,1,0.1,2,-2,1,1,0,0,0,1,0,0,0,0,2,0,0.2,1,0,0,0,0
Randegger Flurin,Verteidiger,SC Bern,15-16,11,1,1,2,0.18,4,-2,1,1,0,0,1,1,0,0,0,0,17,5.88,1.55,2,0,0,0,0
Randegger Gian-Andrea,Verteidiger,Genève-Servette HC,12-13,7,0,1,1,0.14,6,-2,1,0,1,0,0,1,0,0,0,0,12,0,1.71,3,0,0,0,0
Randegger Gian-Andrea,Verteidiger,Kloten Flyers,13-14,16,0,2,2,0.12,10,-1,1,0,2,0,0,2,0,0,0,0,11,0,0.69,5,0,0,0,0
Randegger Gian-Andrea,Verteidiger,SC Bern,15-16,14,0,3,3,0.21,2,-2,1,2,1,0,0,3,0,0,0,0,14,0,1.0,1,0,0,0,0
Ranov Anton,Stürmer,HC Davos,13-14,2,0,0,0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0
Rapuzzi William,Stürmer,EV Zug,15-16,2,0,0,0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0
