Spieler,Pos,Team,Year,GP,G,SOG,S%,SOG/GP,A,PTS,P/GP,PIM Total,+/-,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,2' ,5',10',GM,MP,PS,PSG,PSM,PS%,GWG PS,Number of year
Blindenbacher Severin,Defender,ZSC Lions,15-16,46,3,75,4,1.63,22,25,0.54,28,13,11,11,0,1,13,2,9,0,0,14,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Blum Eric-Ray,Defender,Kloten Flyers,10-11,48,5,75,6.67,1.56,15,20,0.42,18,19,6,9,1,3,7,2,6,0,2,9,0,0,0,0,,,,,,1
Blum Eric-Ray,Defender,Kloten Flyers,11-12,39,5,73,6.85,1.87,12,17,0.44,20,18,5,7,1,2,9,3,3,0,0,10,0,0,0,0,,,,,,1
Blum Eric-Ray,Defender,Kloten Flyers,12-13,45,5,94,5.32,2.09,11,16,0.36,22,17,7,4,1,3,8,2,3,0,0,6,0,1,0,0,,,,,,1
Blum Eric-Ray,Defender,Kloten Flyers,13-14,46,6,74,8.11,1.61,15,21,0.46,32,10,3,12,0,3,9,3,5,0,1,16,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Blum Eric-Ray,Defender,SC Bern,14-15,50,2,76,2.63,1.52,23,25,0.5,26,8,14,9,0,2,13,0,9,0,1,13,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Blum Eric-Ray,Defender,SC Bern,15-16,35,4,76,5.26,2.17,24,28,0.8,12,-5,15,9,0,4,9,0,14,0,1,6,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Blum Eric-Ray,Defender,SCL Tigers,08-09,36,3,49,6.12,1.36,1,4,0.11,30,11,1,0,1,2,1,0,0,1,0,15,0,0,0,0,,,,,,1
Blum Eric-Ray,Defender,SCL Tigers,09-10,49,4,63,6.35,1.29,12,16,0.33,58,-6,7,5,0,2,8,2,4,0,0,14,0,1,1,0,,,,,,1
Bodemann Yanick,Forward,HC Lugano,10-11,1,0,1,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Bodenmann Simon,Forward,Kloten Flyers,08-09,12,0,6,0,0.5,1,1,0.08,0,-3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,1
Bodenmann Simon,Forward,Kloten Flyers,09-10,45,4,50,8,1.11,6,10,0.22,10,5,1,5,1,4,6,0,0,0,0,5,0,0,0,0,,,,,,1
Bodenmann Simon,Forward,Kloten Flyers,10-11,41,17,77,22.08,1.88,9,26,0.63,28,18,7,2,4,14,9,3,0,0,0,14,0,0,0,0,,,,,,1
Bodenmann Simon,Forward,Kloten Flyers,11-12,48,6,69,8.70,1.44,13,19,0.4,20,13,7,6,1,4,11,1,2,1,0,10,0,0,0,0,,,,,,1
Bodenmann Simon,Forward,Kloten Flyers,12-13,49,15,107,14.02,2.18,13,28,0.57,30,12,7,6,3,9,12,5,1,1,0,15,0,0,0,0,,,,,,1
Bodenmann Simon,Forward,Kloten Flyers,13-14,38,11,69,15.94,1.82,18,29,0.76,32,6,11,7,2,8,11,3,7,0,0,11,0,1,0,0,3.0,1.0,2.0,33.33,1.0,1
Bodenmann Simon,Forward,Kloten Flyers,14-15,49,9,115,7.83,2.35,7,16,0.33,36,-12,7,0,2,7,6,2,1,0,0,18,0,0,0,0,2.0,0.0,2.0,0,0.0,1
Bodenmann Simon,Forward,SC Bern,15-16,44,8,108,7.41,2.45,14,22,0.5,8,3,8,6,1,7,12,1,2,0,0,4,0,0,0,0,4.0,1.0,3.0,25,0.0,1
Bogg Hakan,Forward,SCL Tigers,08-09,11,3,17,17.65,1.55,1,4,0.36,2,2,1,0,0,2,0,1,1,0,0,1,0,0,0,0,,,,,,1
Boillat Nicolas,Forward,Genève-Servette HC,08-09,1,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Bomersback Mark,Forward,SCL Tigers,12-13,12,2,22,9.09,1.83,2,4,0.33,16,-3,2,0,1,0,1,2,1,0,0,3,0,1,0,0,,,,,,1
Bonnet Julien,Defender,HC Ambri-Piotta,11-12,2,0,0,-,0.0,0,0,0.0,4,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,,,,,1
Bonnet Julien,Defender,HC Ambri-Piotta,12-13,36,1,17,5.88,0.47,1,2,0.06,26,-12,0,1,0,1,1,0,0,0,0,13,0,0,0,0,,,,,,1
Bonnet Julien,Defender,HC Ambri-Piotta,13-14,13,0,2,0,0.15,0,0,0.0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Bonnet Julien,Defender,HC Ambri-Piotta,14-15,2,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Bonnet Julien,Defender,Kloten Flyers,08-09,44,0,14,0,0.32,2,2,0.05,30,-4,0,2,0,0,1,0,1,0,0,15,0,0,0,0,,,,,,1
Bonnet Julien,Defender,Kloten Flyers,09-10,41,0,4,0,0.1,1,1,0.02,14,-11,0,1,0,0,1,0,0,0,0,7,0,0,0,0,,,,,,1
Bonny Victor,Forward,Fribourg-Gottéron,15-16,1,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Bordeleau Sébastien,Forward,EHC Biel,09-10,47,19,197,9.64,4.19,21,40,0.85,48,-8,13,8,2,9,9,8,11,2,1,24,0,0,0,0,,,,,,1
Bordeleau Sébastien,Forward,EHC Biel,10-11,22,5,60,8.33,2.73,12,17,0.77,39,-16,4,8,0,4,7,1,5,0,0,7,1,0,1,0,,,,,,1
Bordeleau Sébastien,Forward,EHC Biel,11-12,42,15,153,9.80,3.64,14,29,0.69,22,-2,8,6,1,8,8,7,6,0,0,11,0,0,0,0,,,,,,1
Bordeleau Sébastien,Forward,SC Bern,08-09,32,6,77,7.79,2.41,20,26,0.81,20,12,10,10,1,3,13,3,6,0,1,10,0,0,0,0,,,,,,1
Boss Daniel,Defender,EHC Biel,08-09,20,0,2,0,0.1,0,0,0.0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Boss Fabian,Forward,SC Bern,10-11,2,0,0,-,0.0,0,0,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Botta Roman,Forward,Fribourg-Gottéron,14-15,2,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Botta Roman,Forward,HC Ambri-Piotta,09-10,50,4,48,8.33,0.96,3,7,0.14,18,-6,1,2,0,4,3,0,0,0,0,4,0,1,0,0,,,,,,1
Botta Roman,Forward,HC Ambri-Piotta,10-11,38,7,40,17.5,1.05,4,11,0.29,8,-5,2,2,1,4,1,3,3,0,0,4,0,0,0,0,,,,,,1
Botta Roman,Forward,HC Ambri-Piotta,11-12,48,7,65,10.77,1.35,8,15,0.31,8,-8,5,3,1,3,6,4,2,0,0,4,0,0,0,0,,,,,,1
Botta Roman,Forward,HC Ambri-Piotta,12-13,25,3,28,10.71,1.12,9,12,0.48,10,-7,6,3,0,2,7,1,2,0,0,5,0,0,0,0,,,,,,1
Botta Roman,Forward,SCL Tigers,08-09,14,0,4,0,0.29,1,1,0.07,2,-2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,,,,,,1
Botter Cédric,Forward,Fribourg-Gottéron,08-09,44,4,53,7.55,1.2,5,9,0.2,22,-1,2,3,0,4,5,0,0,0,0,11,0,0,0,0,,,,,,1
Botter Cédric,Forward,Fribourg-Gottéron,09-10,40,4,45,8.89,1.12,2,6,0.15,16,-7,2,0,2,4,2,0,0,0,0,8,0,0,0,0,,,,,,1
Botter Cédric,Forward,Fribourg-Gottéron,10-11,36,3,34,8.82,0.94,4,7,0.19,49,-2,2,2,1,3,4,0,0,0,0,12,1,0,1,0,,,,,,1
Botter Cédric,Forward,Fribourg-Gottéron,11-12,47,4,48,8.33,1.02,8,12,0.26,38,-1,2,6,1,3,8,1,0,0,0,14,0,1,0,0,,,,,,1
Botter Cédric,Forward,Fribourg-Gottéron,12-13,46,4,42,9.52,0.91,2,6,0.13,26,-7,1,1,1,3,2,1,0,0,0,13,0,0,0,0,,,,,,1
Bouchard Pierre-Marc,Forward,EV Zug,14-15,49,17,92,18.48,1.88,34,51,1.04,16,19,19,15,2,14,22,3,12,0,0,8,0,0,0,0,8.0,5.0,3.0,62.5,1.0,1
Bouchard Pierre-Marc,Forward,EV Zug,15-16,49,12,102,11.76,2.08,55,67,1.37,20,6,34,21,2,7,30,5,25,0,0,10,0,0,0,0,7.0,2.0,5.0,28.57,1.0,1
Bouillon Francis,Defender,HC Ambri-Piotta,14-15,31,0,33,0,1.06,11,11,0.35,30,-11,6,5,0,0,3,0,8,0,0,15,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Boumedienne Josef,Defender,EV Zug,09-10,7,0,8,0,1.14,4,4,0.57,8,-1,2,2,0,0,2,0,2,0,0,4,0,0,0,0,,,,,,1
Bourque Chris,Forward,EHC Biel,13-14,21,6,69,8.70,3.29,7,13,0.62,14,-6,3,4,1,3,5,2,2,1,0,7,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Bourque Chris,Forward,HC Lugano,10-11,39,14,127,11.02,3.26,19,33,0.85,24,-4,12,7,3,10,9,4,9,0,1,12,0,0,0,0,,,,,,1
Breitbach Robin,Defender,Genève-Servette HC,08-09,45,2,18,11.11,0.4,3,5,0.11,36,10,1,2,0,2,3,0,0,0,0,18,0,0,0,0,,,,,,1
Breitbach Robin,Defender,Genève-Servette HC,09-10,47,0,31,0,0.66,7,7,0.15,75,11,3,4,0,0,7,0,0,0,0,20,1,1,1,0,,,,,,1
Breitbach Robin,Defender,Genève-Servette HC,10-11,36,1,18,5.56,0.5,0,1,0.03,18,-1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,,,,,,1
Brejcak Jan,Defender,HC Davos,15-16,28,0,27,0,0.96,2,2,0.07,63,3,0,2,0,0,1,0,0,0,1,14,1,1,1,0,0.0,0.0,0.0,-,0.0,1
Brem Fabian,Forward,SCL Tigers,11-12,2,0,3,0,1.5,1,1,0.5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,1
Brendl Pavel,Forward,SC Rapperswil-Jona Lakers,11-12,17,2,33,6.06,1.94,3,5,0.29,8,-9,2,1,0,2,2,0,1,0,0,4,0,0,0,0,,,,,,1
Brooks Brendan,Forward,SCL Tigers,09-10,50,20,111,18.02,2.22,14,34,0.68,20,-15,9,5,4,9,9,11,5,0,0,10,0,0,0,0,,,,,,1
Brooks Brendan,Forward,SCL Tigers,10-11,47,10,107,9.35,2.28,12,22,0.47,10,0,8,4,3,6,10,4,2,0,0,5,0,0,0,0,,,,,,1
