Spieler,Pos,Team,Year,GP,G,SOG,S%,SOG/GP,A,PTS,P/GP,PIM Total,+/-,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,2' ,5',10',GM,MP,PS,PSG,PSM,PS%,GWG PS,Number of year
Dal Pian Giacomo,Forward,HC Lugano,15-16,18,2,14,14.29,0.78,1,3,0.17,2,-3,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Damon Derek,Forward,SC Rapperswil-Jona Lakers,13-14,1,0,3,0,3.0,1,1,1.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,100,0.0,1
Danielsson Nicklas,Forward,Lausanne HC,15-16,49,12,161,7.45,3.29,23,35,0.71,20,-1,16,7,1,8,16,4,7,0,0,10,0,0,0,0,3.0,0.0,3.0,0,0.0,1
Danielsson Nicklas,Forward,SC Bern,12-13,23,4,64,6.25,2.78,4,8,0.35,10,-5,2,2,1,1,3,3,1,0,0,5,0,0,0,0,,,,,,1
Danielsson Nicklas,Forward,SC Rapperswil-Jona Lakers,13-14,33,10,147,6.80,4.45,7,17,0.52,73,-4,2,5,1,8,4,1,3,1,0,14,1,2,1,0,2.0,1.0,1.0,50,0.0,1
Danielsson Nicklas,Forward,SC Rapperswil-Jona Lakers,14-15,46,19,202,9.41,4.39,28,47,1.02,50,-11,16,12,3,6,13,12,15,1,0,20,0,1,0,0,7.0,0.0,7.0,0,0.0,1
Daugavins Kaspars,Forward,Genève-Servette HC,13-14,44,18,111,16.22,2.52,26,44,1.0,22,23,16,10,4,15,17,3,6,0,3,6,0,1,0,0,7.0,4.0,3.0,57.14,2.0,1
De Martin Michel,Forward,SC Rapperswil-Jona Lakers,09-10,1,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Debrunner Fabian,Forward,Genève-Servette HC,08-09,41,1,16,6.25,0.39,4,5,0.12,8,-1,2,2,0,1,4,0,0,0,0,4,0,0,0,0,,,,,,1
Del Zotto Michael,Defender,SC Rapperswil-Jona Lakers,12-13,9,2,14,14.29,1.56,5,7,0.78,10,-9,1,4,0,0,3,2,2,0,0,5,0,0,0,0,,,,,,1
Della Rossa Patric,Forward,Kloten Flyers,08-09,27,2,10,20,0.37,5,7,0.26,12,2,0,5,0,1,4,0,1,1,0,6,0,0,0,0,,,,,,1
Demuth Alain,Forward,HC Ambri-Piotta,08-09,48,5,60,8.33,1.25,8,13,0.27,30,-6,3,5,1,4,6,1,2,0,0,15,0,0,0,0,,,,,,1
Demuth Alain,Forward,HC Ambri-Piotta,09-10,46,3,56,5.36,1.22,4,7,0.15,26,1,4,0,0,3,4,0,0,0,0,13,0,0,0,0,,,,,,1
Demuth Alain,Forward,HC Ambri-Piotta,10-11,44,2,21,9.52,0.48,5,7,0.16,10,-7,3,2,0,1,5,1,0,0,0,5,0,0,0,0,,,,,,1
Demuth Alain,Forward,HC Ambri-Piotta,11-12,26,3,20,15,0.77,1,4,0.15,29,0,1,0,0,3,1,0,0,0,0,2,1,0,0,1,,,,,,1
Denisov Vladimir,Defender,HC Ambri-Piotta,10-11,37,1,46,2.17,1.24,4,5,0.14,54,-5,1,3,1,0,2,1,2,0,0,22,0,1,0,0,,,,,,1
Deruns Thomas,Forward,Genève-Servette HC,08-09,43,7,55,12.73,1.28,15,22,0.51,79,7,9,6,2,5,10,2,4,0,1,12,1,3,1,0,,,,,,1
Deruns Thomas,Forward,Genève-Servette HC,09-10,50,19,77,24.68,1.54,31,50,1.0,44,16,18,13,4,13,23,4,7,2,1,17,0,1,0,0,,,,,,1
Deruns Thomas,Forward,Lausanne HC,13-14,50,9,84,10.71,1.68,10,19,0.38,14,-3,4,6,4,6,7,3,3,0,0,7,0,0,0,0,2.0,0.0,2.0,0,0.0,1
Deruns Thomas,Forward,Lausanne HC,14-15,36,4,61,6.56,1.69,7,11,0.31,8,-7,5,2,2,3,5,1,2,0,0,4,0,0,0,0,4.0,1.0,3.0,25,1.0,1
Deruns Thomas,Forward,Lausanne HC,15-16,50,7,81,8.64,1.62,13,20,0.4,6,-1,6,7,4,5,10,1,3,1,0,3,0,0,0,0,4.0,2.0,2.0,50,1.0,1
Deruns Thomas,Forward,SC Bern,10-11,42,11,80,13.75,1.9,13,24,0.57,14,9,8,5,1,9,11,2,2,0,0,7,0,0,0,0,,,,,,1
Deruns Thomas,Forward,SC Bern,11-12,40,4,61,6.56,1.52,11,15,0.38,6,-5,8,3,1,4,8,0,3,0,0,3,0,0,0,0,,,,,,1
Deruns Thomas,Forward,SC Bern,12-13,26,1,22,4.55,0.85,2,3,0.12,2,1,2,0,0,1,2,0,0,0,0,1,0,0,0,0,,,,,,1
Desharnais David,Forward,Fribourg-Gottéron,12-13,16,4,29,13.79,1.81,12,16,1.0,12,5,8,4,0,3,8,1,4,0,0,6,0,0,0,0,,,,,,1
Devaja Dominik,Forward,Kloten Flyers,14-15,5,0,0,-,0.0,0,0,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Devereaux Boyd,Forward,HC Lugano,09-10,16,2,28,7.14,1.75,2,4,0.25,8,-3,1,1,0,1,2,1,0,0,0,4,0,0,0,0,,,,,,1
Di Pietro Paul,Forward,EV Zug,08-09,50,11,104,10.58,2.08,22,33,0.66,42,8,14,8,2,8,10,3,12,0,0,16,0,1,0,0,,,,,,1
Di Pietro Paul,Forward,EV Zug,09-10,49,9,98,9.18,2.0,14,23,0.47,16,-5,9,5,1,8,6,1,8,0,0,8,0,0,0,0,,,,,,1
Di Pietro Paul,Forward,EV Zug,10-11,49,7,83,8.43,1.69,19,26,0.53,20,1,16,3,1,4,15,3,4,0,0,10,0,0,0,0,,,,,,1
Di Pietro Paul,Forward,HC Lugano,12-13,15,0,16,0,1.07,3,3,0.2,4,1,3,0,0,0,3,0,0,0,0,2,0,0,0,0,,,,,,1
Di Pietro Paul,Forward,SCL Tigers,11-12,17,5,39,12.82,2.29,5,10,0.59,6,4,2,3,0,4,5,1,0,0,0,3,0,0,0,0,,,,,,1
DiDomenico Christopher,Forward,SCL Tigers,15-16,46,12,93,12.90,2.02,26,38,0.83,42,-11,21,5,3,9,19,3,7,0,0,21,0,0,0,0,5.0,1.0,4.0,20,1.0,1
Diaz Raphael,Defender,EV Zug,08-09,50,4,73,5.48,1.46,9,13,0.26,36,9,7,2,1,4,7,0,2,0,0,18,0,0,0,0,,,,,,1
Diaz Raphael,Defender,EV Zug,09-10,49,4,104,3.85,2.12,27,31,0.63,22,8,13,14,1,1,10,2,17,1,0,11,0,0,0,0,,,,,,1
Diaz Raphael,Defender,EV Zug,10-11,45,12,146,8.22,3.24,27,39,0.87,26,18,17,10,2,9,18,3,9,0,0,13,0,0,0,0,,,,,,1
Diaz Raphael,Defender,EV Zug,12-13,32,7,71,9.86,2.22,22,29,0.91,12,17,14,8,1,4,9,3,13,0,0,6,0,0,0,0,,,,,,1
Diem Dominik,Forward,ZSC Lions,14-15,1,0,4,0,4.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Diem Dominik,Forward,ZSC Lions,15-16,11,2,8,25,0.73,3,5,0.45,2,2,3,0,0,2,3,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Diem Nolan,Forward,EV Zug,12-13,16,1,4,25,0.25,3,4,0.25,2,-1,3,0,0,1,1,0,2,0,0,1,0,0,0,0,,,,,,1
Diem Nolan,Forward,EV Zug,13-14,41,1,32,3.12,0.78,3,4,0.1,6,-8,1,2,0,1,3,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Diem Nolan,Forward,EV Zug,14-15,47,3,31,9.68,0.66,7,10,0.21,12,-3,3,4,1,1,5,1,1,1,1,6,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Diem Nolan,Forward,EV Zug,15-16,41,2,29,6.90,0.71,5,7,0.17,22,-3,3,2,0,2,4,0,0,0,1,11,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dietrich Lukas,Forward,SC Rapperswil-Jona Lakers,10-11,1,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Divisek Tomas,Forward,HC Davos,11-12,7,3,19,15.79,2.71,2,5,0.71,4,4,1,1,0,3,2,0,0,0,0,2,0,0,0,0,,,,,,1
Domenichelli Hnat,Forward,HC Lugano,08-09,40,21,135,15.56,3.38,19,40,1.0,8,-11,8,11,5,12,4,9,15,0,0,4,0,0,0,0,,,,,,1
Domenichelli Hnat,Forward,HC Lugano,09-10,50,27,140,19.29,2.8,35,62,1.24,16,9,21,14,6,12,21,13,14,2,0,8,0,0,0,0,,,,,,1
Domenichelli Hnat,Forward,HC Lugano,10-11,48,16,140,11.43,2.92,27,43,0.9,16,-2,14,13,0,11,12,4,15,1,0,8,0,0,0,0,,,,,,1
Domenichelli Hnat,Forward,HC Lugano,11-12,48,14,118,11.86,2.46,19,33,0.69,18,-10,13,6,1,10,6,3,12,1,1,9,0,0,0,0,,,,,,1
Domenichelli Hnat,Forward,HC Lugano,12-13,17,6,45,13.33,2.65,4,10,0.59,8,5,1,3,1,2,1,4,3,0,0,4,0,0,0,0,,,,,,1
Domenichelli Hnat,Forward,SC Bern,13-14,42,12,95,12.63,2.26,12,24,0.57,10,-15,7,5,1,4,5,8,7,0,0,5,0,0,0,0,2.0,1.0,1.0,50,0.0,1
Donati Gianni,Forward,HC Ambri-Piotta,12-13,10,0,2,0,0.2,0,0,0.0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Donati Gianni,Forward,HC Davos,08-09,7,0,2,0,0.29,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Donati Gianni,Forward,HC Davos,09-10,18,1,12,8.33,0.67,1,2,0.11,16,0,0,1,0,1,1,0,0,0,0,3,0,1,0,0,,,,,,1
Dostoinov Alexei,Forward,EHC Biel,08-09,4,0,2,0,0.5,0,0,0.0,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,1
Dostoinov Alexei,Forward,EHC Biel,15-16,7,2,12,16.67,1.71,0,2,0.29,0,-1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dostoinov Alexei,Forward,HC Ambri-Piotta,14-15,44,5,82,6.10,1.86,7,12,0.27,10,-16,5,2,0,4,6,1,1,0,0,5,0,0,0,0,2.0,0.0,2.0,0,0.0,1
Dostoinov Alexei,Forward,SC Bern,13-14,44,6,56,10.71,1.27,9,15,0.34,12,-1,7,2,1,6,8,0,1,0,0,6,0,0,0,0,1.0,1.0,0.0,100,0.0,1
Dotti Isacco,Defender,HC Ambri-Piotta,11-12,2,0,1,0,0.5,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Dotti Isacco,Defender,HC Ambri-Piotta,12-13,12,0,7,0,0.58,0,0,0.0,10,-6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,,,,,1
Douay Floran,Forward,Genève-Servette HC,13-14,2,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Douay Floran,Forward,Genève-Servette HC,14-15,12,1,4,25,0.33,1,2,0.17,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Douay Floran,Forward,Genève-Servette HC,15-16,50,6,36,16.67,0.72,5,11,0.22,34,-4,1,4,0,6,5,0,0,0,0,12,0,1,0,0,0.0,0.0,0.0,-,0.0,1
Down Blaine,Forward,ZSC Lions,09-10,10,8,33,24.24,3.3,5,13,1.3,10,3,5,0,1,6,4,1,0,1,1,5,0,0,0,0,,,,,,1
Down Blaine,Forward,ZSC Lions,10-11,25,10,56,17.86,2.24,7,17,0.68,12,-1,3,4,2,7,6,2,1,1,0,6,0,0,0,0,,,,,,1
Down Blaine,Forward,ZSC Lions,11-12,24,6,42,14.29,1.75,9,15,0.62,18,0,5,4,1,5,5,1,4,0,0,9,0,0,0,0,,,,,,1
Du Bois Felicien,Defender,HC Davos,14-15,46,7,102,6.86,2.22,10,17,0.37,16,12,5,5,2,4,6,3,4,0,0,8,0,0,0,0,6.0,2.0,4.0,33.33,1.0,1
Du Bois Felicien,Defender,HC Davos,15-16,31,5,63,7.94,2.03,6,11,0.35,10,2,4,2,2,3,3,2,2,0,1,5,0,0,0,0,3.0,0.0,3.0,0,0.0,1
Du Bois Felicien,Defender,Kloten Flyers,08-09,45,2,103,1.94,2.29,27,29,0.64,32,10,15,12,0,1,11,1,15,0,1,11,0,1,0,0,,,,,,1
Du Bois Felicien,Defender,Kloten Flyers,09-10,34,5,92,5.43,2.71,12,17,0.5,26,-1,6,6,0,2,5,3,7,0,0,8,0,1,0,0,,,,,,1
Du Bois Felicien,Defender,Kloten Flyers,10-11,47,5,109,4.59,2.32,22,27,0.57,53,12,7,15,1,0,10,4,11,1,1,14,1,0,1,0,,,,,,1
Du Bois Felicien,Defender,Kloten Flyers,11-12,29,4,74,5.41,2.55,7,11,0.38,10,23,3,4,1,2,7,2,0,0,0,5,0,0,0,0,,,,,,1
Du Bois Felicien,Defender,Kloten Flyers,12-13,26,1,68,1.47,2.62,3,4,0.15,10,7,0,3,0,0,2,1,1,0,0,5,0,0,0,0,,,,,,1
Du Bois Felicien,Defender,Kloten Flyers,13-14,31,6,79,7.59,2.55,8,14,0.45,32,-5,6,2,0,3,5,3,3,0,0,11,0,1,0,0,0.0,0.0,0.0,-,0.0,1
Dubois Tim,Defender,SC Bern,15-16,18,0,2,0,0.11,0,0,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dubé Christian,Forward,Fribourg-Gottéron,11-12,40,8,88,9.09,2.2,28,36,0.9,55,3,13,15,0,5,16,2,10,1,2,10,1,1,1,0,,,,,,1
Dubé Christian,Forward,Fribourg-Gottéron,12-13,48,13,80,16.25,1.67,29,42,0.88,18,7,16,13,1,8,16,4,13,1,0,9,0,0,0,0,,,,,,1
Dubé Christian,Forward,Fribourg-Gottéron,13-14,36,8,48,16.67,1.33,12,20,0.56,8,0,6,6,2,6,8,2,4,0,0,4,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dubé Christian,Forward,Fribourg-Gottéron,14-15,46,10,53,18.87,1.15,15,25,0.54,43,-13,6,9,0,8,9,1,6,1,0,9,1,0,1,0,0.0,0.0,0.0,-,0.0,1
Dubé Christian,Forward,SC Bern,08-09,46,15,103,14.56,2.24,41,56,1.22,32,17,25,16,1,11,22,4,16,0,3,16,0,0,0,0,,,,,,1
Dubé Christian,Forward,SC Bern,09-10,5,1,8,12.5,1.6,5,6,1.2,0,0,1,4,0,1,1,0,4,0,0,0,0,0,0,0,,,,,,1
Dubé Christian,Forward,SC Bern,10-11,44,14,83,16.87,1.89,35,49,1.11,18,32,17,18,2,8,27,5,8,1,0,9,0,0,0,0,,,,,,1
Duca Paolo,Forward,HC Ambri-Piotta,08-09,50,18,135,13.33,2.7,29,47,0.94,45,-10,23,6,1,11,16,6,13,1,0,20,1,0,0,0,,,,,,1
Duca Paolo,Forward,HC Ambri-Piotta,09-10,50,18,135,13.33,2.7,21,39,0.78,40,-11,15,6,1,11,15,7,6,0,0,15,0,1,0,0,,,,,,1
Duca Paolo,Forward,HC Ambri-Piotta,10-11,49,8,103,7.77,2.1,17,25,0.51,22,-12,13,4,1,5,7,2,10,1,0,11,0,0,0,0,,,,,,1
Duca Paolo,Forward,HC Ambri-Piotta,11-12,33,6,39,15.38,1.18,8,14,0.42,8,-9,4,4,1,1,4,5,4,0,0,4,0,0,0,0,,,,,,1
Duca Paolo,Forward,HC Ambri-Piotta,12-13,49,4,79,5.06,1.61,9,13,0.27,14,-12,3,6,1,3,5,1,4,0,0,7,0,0,0,0,,,,,,1
Duca Paolo,Forward,HC Ambri-Piotta,13-14,49,8,79,10.13,1.61,6,14,0.29,18,-3,4,2,3,6,5,0,1,2,0,9,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Duca Paolo,Forward,HC Ambri-Piotta,14-15,48,5,79,6.33,1.65,6,11,0.23,47,-18,4,2,1,3,4,2,1,0,1,11,1,0,1,0,3.0,0.0,3.0,0,0.0,1
Duca Paolo,Forward,HC Ambri-Piotta,15-16,41,7,73,9.59,1.78,10,17,0.41,24,-9,7,3,1,3,6,4,4,0,0,12,0,0,0,0,4.0,1.0,3.0,25,0.0,1
Duchene Matt,-,HC Ambri-Piotta,12-13,4,2,18,11.11,4.5,3,5,1.25,2,2,1,2,0,2,2,0,1,0,0,1,0,0,0,0,,,,,,1
Dufner Mauro,Defender,EHC Biel,15-16,46,0,30,0,0.65,4,4,0.09,16,-4,1,3,0,0,4,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dufner Mauro,Defender,SC Bern,13-14,1,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dufner Mauro,Defender,SC Bern,14-15,9,1,8,12.5,0.89,1,2,0.22,2,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1.0,0.0,1.0,0,0.0,1
Dumont Jean-Pierre,Forward,SC Bern,11-12,31,8,71,11.27,2.29,23,31,1.0,22,7,13,10,0,6,14,2,8,0,1,11,0,0,0,0,,,,,,1
Dupertuis Joey,Defender,Genève-Servette HC,13-14,8,0,0,-,0.0,0,0,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dupertuis Joey,Defender,Genève-Servette HC,14-15,6,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dupont Micki,Defender,EV Zug,08-09,50,13,177,7.34,3.54,19,32,0.64,58,3,11,8,1,6,8,6,11,1,0,24,0,1,0,0,,,,,,1
Dupont Micki,Defender,EV Zug,09-10,46,7,159,4.40,3.46,18,25,0.54,48,3,6,12,3,3,7,3,11,1,0,19,0,1,0,0,,,,,,1
Dupont Micki,Defender,Kloten Flyers,10-11,49,11,197,5.58,4.02,30,41,0.84,32,17,15,15,2,8,13,2,14,1,3,16,0,0,0,0,,,,,,1
Dupont Micki,Defender,Kloten Flyers,11-12,49,6,182,3.30,3.71,35,41,0.84,87,14,22,13,2,4,19,1,15,1,1,21,1,2,1,0,,,,,,1
Dupont Micki,Defender,Kloten Flyers,12-13,49,7,166,4.22,3.39,19,26,0.53,16,11,12,7,0,3,13,4,6,0,0,8,0,0,0,0,,,,,,1
Dupont Micki,Defender,Kloten Flyers,13-14,48,7,128,5.47,2.67,22,29,0.6,64,20,13,9,1,2,12,4,9,1,1,17,0,1,1,0,0.0,0.0,0.0,-,0.0,1
Dupont Micki,Defender,Kloten Flyers,14-15,48,2,108,1.85,2.25,21,23,0.48,26,-13,12,9,0,2,9,0,12,0,0,13,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dvorak Radek,Forward,HC Davos,12-13,7,3,17,17.65,2.43,4,7,1.0,2,4,2,2,0,2,3,1,1,0,0,1,0,0,0,0,,,,,,1
Dähler Florian,Forward,Fribourg-Gottéron,12-13,1,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Détraz Mattéo,Defender,Genève-Servette HC,15-16,4,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dünner Nico,Forward,EV Zug,13-14,5,0,6,0,1.2,0,0,0.0,2,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Dünner Nico,Forward,EV Zug,14-15,22,2,13,15.38,0.59,3,5,0.23,4,-3,1,2,0,2,3,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Earl Robbie,Forward,EHC Biel,15-16,7,4,17,23.53,2.43,6,10,1.43,0,4,6,0,0,1,4,2,2,1,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Earl Robbie,Forward,EV Zug,13-14,46,20,155,12.90,3.37,18,38,0.83,26,-7,13,5,4,12,11,8,7,0,0,13,0,0,0,0,9.0,1.0,8.0,11.11,0.0,1
Earl Robbie,Forward,EV Zug,14-15,48,19,164,11.59,3.42,26,45,0.94,34,17,12,14,3,12,15,6,10,1,1,17,0,0,0,0,3.0,0.0,3.0,0,0.0,1
Earl Robbie,Forward,SC Rapperswil-Jona Lakers,12-13,48,22,200,11,4.17,23,45,0.94,48,-4,11,12,4,18,15,4,8,0,0,9,0,3,0,0,,,,,,1
Ebbett Andrew,Forward,SC Bern,15-16,19,4,52,7.69,2.74,9,13,0.68,10,0,4,5,1,2,4,2,5,0,0,5,0,0,0,0,3.0,0.0,3.0,0,0.0,1
Eggenberger Nando,Forward,HC Davos,15-16,2,0,2,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Egli Chris,Forward,HC Davos,14-15,2,0,2,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Egli Chris,Forward,HC Davos,15-16,13,0,4,0,0.31,1,1,0.08,0,-3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Ehlers Nikolaj,Forward,EHC Biel,12-13,11,1,19,5.26,1.73,1,2,0.18,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,1
Ehrensperger Gianni,Forward,EHC Biel,08-09,47,11,72,15.28,1.53,14,25,0.53,30,-2,7,7,1,8,12,2,1,1,1,15,0,0,0,0,,,,,,1
Ehrensperger Gianni,Forward,EHC Biel,09-10,31,7,52,13.46,1.68,6,13,0.42,12,-5,3,3,1,3,5,3,1,1,0,6,0,0,0,0,,,,,,1
Ehrensperger Gianni,Forward,EHC Biel,10-11,41,10,87,11.49,2.12,16,26,0.63,14,1,7,9,1,6,11,4,5,0,0,7,0,0,0,0,,,,,,1
Ehrensperger Gianni,Forward,EHC Biel,11-12,49,4,86,4.65,1.76,9,13,0.27,26,-13,4,5,2,3,4,1,5,0,0,13,0,0,0,0,,,,,,1
Ehrensperger Gianni,Forward,EHC Biel,12-13,49,4,68,5.88,1.39,8,12,0.24,16,-4,6,2,1,4,6,0,2,0,0,8,0,0,0,0,,,,,,1
Ehrensperger Gianni,Forward,EHC Biel,13-14,18,3,31,9.68,1.72,4,7,0.39,10,-1,2,2,0,3,2,0,2,0,0,5,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Ehrensperger Gianni,Forward,EHC Biel,14-15,30,5,46,10.87,1.53,5,10,0.33,22,-5,4,1,0,5,5,0,0,0,0,11,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Ehrensperger Gianni,Forward,EHC Biel,15-16,29,2,34,5.88,1.17,2,4,0.14,10,1,0,2,0,2,2,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Eicher Remo,Defender,SC Bern,09-10,2,0,1,0,0.5,0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,1
Eicher Remo,Defender,SC Bern,10-11,6,0,0,-,0.0,0,0,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Eigenmann Daniel,Defender,EHC Biel,12-13,1,0,1,0,1.0,0,0,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Eigenmann Daniel,Defender,Lausanne HC,13-14,10,0,1,0,0.1,0,0,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Eigenmann Daniel,Defender,SC Rapperswil-Jona Lakers,14-15,11,0,5,0,0.45,0,0,0.0,6,-4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0.0,0.0,-,0.0,1
El Assaoui Sami,Defender,HC Ambri-Piotta,13-14,46,0,50,0,1.09,3,3,0.07,22,0,1,2,0,0,3,0,0,0,0,11,0,0,0,0,0.0,0.0,0.0,-,0.0,1
El Assaoui Sami,Defender,Kloten Flyers,14-15,6,0,1,0,0.17,0,0,0.0,4,-1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.0,-,0.0,1
El Assaoui Sami,Defender,SCL Tigers,12-13,14,2,20,10,1.43,3,5,0.36,33,0,3,0,0,2,1,0,2,0,0,4,1,0,1,0,,,,,,1
El Assaoui Sami,Defender,ZSC Lions,11-12,1,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Elik Todd,Forward,SCL Tigers,08-09,6,1,12,8.33,2.0,6,7,1.17,8,3,5,1,0,1,5,0,1,0,0,4,0,0,0,0,,,,,,1
Ellerby Keaton,Forward,Fribourg-Gottéron,15-16,13,1,24,4.17,1.85,5,6,0.46,0,-3,2,3,0,1,3,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Ellison Matt,Forward,EHC Biel,13-14,7,0,10,0,1.43,1,1,0.14,4,-2,1,0,0,0,0,0,1,0,0,2,0,0,0,0,3.0,0.0,3.0,0,0.0,1
Emmerton Cory,Forward,HC Ambri-Piotta,15-16,49,15,104,14.42,2.12,21,36,0.73,10,1,12,9,1,11,12,3,9,1,0,5,0,0,0,0,3.0,1.0,2.0,33.33,0.0,1
Ennis Tyler,Forward,SCL Tigers,12-13,9,3,27,11.11,3.0,5,8,0.89,0,-5,2,3,0,3,2,0,3,0,0,0,0,0,0,0,,,,,,1
Erb Raphael,Defender,Fribourg-Gottéron,12-13,1,0,0,-,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1
Eriksson Loui,Forward,HC Davos,12-13,7,3,18,16.67,2.57,3,6,0.86,0,1,3,0,0,2,2,1,0,0,1,0,0,0,0,0,,,,,,1
Erni Samuel,Defender,EV Zug,10-11,16,0,3,0,0.19,2,2,0.12,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,,,,,,1
Erni Samuel,Defender,EV Zug,11-12,46,1,30,3.33,0.65,7,8,0.17,18,3,3,4,1,1,7,0,0,0,0,9,0,0,0,0,,,,,,1
Erni Samuel,Defender,EV Zug,12-13,5,0,9,0,1.8,1,1,0.2,4,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,,,,,,1
Erni Samuel,Defender,EV Zug,13-14,27,1,25,4,0.93,2,3,0.11,16,-4,2,0,0,1,2,0,0,0,0,8,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Erni Samuel,Defender,EV Zug,14-15,47,0,16,0,0.34,4,4,0.09,20,1,0,4,0,0,4,0,0,0,0,10,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Erni Samuel,Defender,EV Zug,15-16,39,1,28,3.57,0.72,4,5,0.13,10,-2,2,2,1,1,4,0,0,0,0,5,0,0,0,0,0.0,0.0,0.0,-,0.0,1
Fata Rico,Forward,EHC Biel,08-09,45,18,125,14.4,2.78,19,37,0.82,44,-5,11,8,3,10,14,7,5,1,0,12,0,2,0,0,,,,,,1
Fata Rico,Forward,EHC Biel,09-10,41,15,115,13.04,2.8,16,31,0.76,28,-9,7,9,0,6,10,7,6,2,0,9,0,1,0,0,,,,,,1
