R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;Genève-Servette HC;50;186;3.72;22;0.44;88.17;316:34;06:19;6;0.12
2;EV Zug;50;221;4.42;27;0.54;87.78;371:22;07:25;5;0.10
3;SC Bern;50;195;3.90;24;0.48;87.69;318:28;06:22;2;0.04
4;Fribourg-Gottéron;50;188;3.76;28;0.56;85.11;314:53;06:17;3;0.06
5;HC Davos;50;227;4.54;35;0.70;84.58;372:11;07:26;11;0.22
;Durchschnitt;50;198;3.96;32;0.64;83.84;326:31;06:31;5;0.10
6;Kloten Flyers;50;206;4.12;35;0.70;83.01;337:00;06:44;8;0.16
7;HC Lugano;50;184;3.68;32;0.64;82.61;292:12;05:50;9;0.18
8;SC Rapperswil-Jona Lakers;50;199;3.98;35;0.70;82.41;328:30;06:34;2;0.04
9;EHC Biel;50;200;4.00;35;0.70;82.5;329:47;06:35;1;0.02
10;ZSC Lions;50;185;3.70;35;0.70;81.08;311:06;06:13;7;0.14
11;HC Ambri-Piotta;50;182;3.64;37;0.74;79.67;289:54;05:47;2;0.04
12;SCL Tigers;50;209;4.18;46;0.92;77.99;336:18;06:43;4;0.08
