R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;Genève-Servette HC;50;249;4.98;34;0.68;86.35;402:27;08:02;11;0.22
2;SC Bern;50;201;4.02;29;0.58;85.57;327:35;06:33;6;0.12
3;HC Davos;50;240;4.80;36;0.72;85;401:03;08:01;7;0.14
4;Fribourg-Gottéron;50;227;4.54;35;0.70;84.58;364:32;07:17;2;0.04
5;EHC Biel;50;198;3.96;33;0.66;83.33;317:33;06:21;7;0.14
;Durchschnitt;50;218;4.36;38;0.76;82.57;343:28;06:52;5;0.10
6;EV Zug;50;236;4.72;42;0.84;82.20;366:39;07:19;4;0.08
7;Kloten Flyers;50;221;4.42;40;0.80;81.90;354:18;07:05;5;0.10
8;ZSC Lions;50;190;3.80;35;0.70;81.58;292:48;05:51;9;0.18
9;HC Lugano;50;220;4.40;41;0.82;81.36;312:49;06:15;4;0.08
10;HC Ambri-Piotta;50;195;3.90;38;0.76;80.51;309:03;06:10;4;0.08
11;SC Rapperswil-Jona Lakers;50;206;4.12;43;0.86;79.13;320:56;06:25;3;0.06
12;SCL Tigers;50;234;4.68;51;1.02;78.21;351:58;07:02;4;0.08
