R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;HC Davos;50;247;4.94;28;0.56;88.66;412:18;08:14;13;0.26
2;SC Bern;50;184;3.68;26;0.52;85.87;307:42;06:09;5;0.10
3;Kloten Flyers;50;210;4.20;30;0.60;85.71;334:09;06:40;12;0.24
4;Genève-Servette HC;50;208;4.16;33;0.66;84.13;319:44;06:23;5;0.10
5;EV Zug;50;224;4.48;37;0.74;83.48;368:21;07:22;2;0.04
6;ZSC Lions;50;218;4.36;37;0.74;83.03;354:43;07:05;1;0.02
;Durchschnitt;50;205;4.10;36;0.72;82.44;332:04;06:38;5;0.10
7;SCL Tigers;50;179;3.58;33;0.66;81.56;286:42;05:44;4;0.08
8;HC Lugano;50;215;4.30;40;0.80;81.40;335:10;06:42;5;0.10
9;Fribourg-Gottéron;50;208;4.16;41;0.82;80.29;344:50;06:53;3;0.06
10;SC Rapperswil-Jona Lakers;50;219;4.38;47;0.94;78.54;346:16;06:55;3;0.06
11;EHC Biel;50;201;4.02;47;0.94;76.62;323:29;06:28;3;0.06
12;HC Ambri-Piotta;50;157;3.14;37;0.74;76.43;251:29;05:01;4;0.08
