R;Team;GP;PK SI;PK SI/GP;PK GA;PK GA/GP;PK%;PKT;PK time/GP;SHG;PK GF/GP
1;Kloten Flyers;50;200;4.00;28;0.56;86;313:27;06:16;6;0.12
2;HC Lugano;50;197;3.94;28;0.56;85.79;316:29;06:19;5;0.10
3;HC Davos;50;204;4.08;30;0.60;85.29;328:33;06:34;7;0.14
4;Lausanne HC;50;188;3.76;28;0.56;85.11;308:36;06:10;6;0.12
5;Fribourg-Gottéron;50;196;3.92;30;0.60;84.69;320:50;06:25;2;0.04
6;Genève-Servette HC;50;210;4.20;34;0.68;83.81;343:07;06:51;8;0.16
7;HC Ambri-Piotta;50;179;3.58;29;0.58;83.80;288:22;05:46;5;0.10
8;ZSC Lions;50;186;3.72;31;0.62;83.33;298:05;05:57;6;0.12
;Durchschnitt;50;197;3.94;33;0.66;83.25;312:27;06:14;5;0.10
9;SC Bern;50;187;3.74;32;0.64;82.89;294:59;05:53;4;0.08
10;EHC Biel;50;197;3.94;34;0.68;82.74;298:08;05:57;5;0.10
11;EV Zug;50;225;4.50;47;0.94;79.11;326:24;06:31;6;0.12
12;SC Rapperswil-Jona Lakers;50;203;4.06;53;1.06;73.89;312:33;06:15;1;0.02
