R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Brunner Damien;EV Zug;Stürmer;45;24;36;60;1.33;48;18
2;Sprunger Julien;Fribourg-Gottéron;Stürmer;49;27;24;51;1.04;22;29
3;Bednar Jaroslav;HC Lugano;Stürmer;45;16;34;50;1.11;18;6
4;Sykora Petr;HC Davos;Stürmer;46;21;28;49;1.07;4;27
5;Tambellini Jeff;ZSC Lions;Stürmer;50;23;22;45;0.90;14;19
6;Gamache Simon;Fribourg-Gottéron;Stürmer;50;20;25;45;0.90;42;7
7;Santala Tommi;Kloten Flyers;Stürmer;47;9;35;44;0.94;46;5
8;Ritchie Byron;SC Bern;Stürmer;47;22;21;43;0.91;50;3
9;Plüss Benny;Fribourg-Gottéron;Stürmer;48;15;27;42;0.88;20;22
10;McLean Kurtis;SCL Tigers;Stürmer;49;14;28;42;0.86;34;2
11;Taticek Petr;HC Davos;Stürmer;49;26;15;41;0.84;10;22
12;Liniger Michael;Kloten Flyers;Stürmer;50;21;20;41;0.82;36;22
13;Dupont Micki;Kloten Flyers;Verteidiger;49;6;35;41;0.84;87;14
14;Von Arx Reto;HC Davos;Stürmer;46;10;30;40;0.87;56;26
15;Romy Kevin;HC Lugano;Stürmer;44;18;21;39;0.89;10;0
16;Rosa Pavel;Fribourg-Gottéron;Stürmer;35;16;23;39;1.11;6;1
17;Christen Björn;EV Zug;Stürmer;49;15;24;39;0.80;50;0
18;Holden Josh;EV Zug;Stürmer;39;16;21;37;0.95;59;2
19;Bykov Andrey;Fribourg-Gottéron;Stürmer;36;8;29;37;1.03;6;20
20;Stancescu Victor;Kloten Flyers;Stürmer;48;20;16;36;0.75;89;9
21;Rintanen Kimmo;HC Lugano;Stürmer;42;16;20;36;0.86;16;-3
22;Metropolit Glen;EV Zug;Stürmer;42;15;21;36;0.86;28;9
23;Pelletier Pascal;SCL Tigers;Stürmer;43;14;22;36;0.84;71;-3
24;Dubé Christian;Fribourg-Gottéron;Stürmer;40;8;28;36;0.90;55;3
25;Sejna Peter;HC Davos;Stürmer;49;19;16;35;0.71;6;18
26;Steiner Daniel;HC Lugano;Stürmer;50;16;19;35;0.70;32;-8
27;Moser Simon;SCL Tigers;Stürmer;50;18;16;34;0.68;50;-9
28;Wozniewski Andy;EV Zug;Verteidiger;47;11;23;34;0.72;75;22
29;Mieville Alain;EHC Biel;Stürmer;50;9;25;34;0.68;24;0
30;Fata Rico;Genève-Servette HC;Stürmer;50;17;16;33;0.66;26;-5
31;Domenichelli Hnat;HC Lugano;Stürmer;48;14;19;33;0.69;18;-10
32;Jeannin Sandy;Fribourg-Gottéron;Stürmer;38;9;24;33;0.87;14;4
33;Berger Pascal;SC Bern;Stürmer;50;18;14;32;0.64;6;15
34;Gardner Ryan;SC Bern;Stürmer;49;11;21;32;0.65;10;3
35;Ambühl Andres;ZSC Lions;Stürmer;48;14;17;31;0.65;60;6
36;Pittis Domenico;ZSC Lions;Stürmer;49;12;19;31;0.63;46;8
37;Dumont Jean-Pierre;SC Bern;Stürmer;31;8;23;31;1.00;22;7
38;Casutt Corsin;EV Zug;Stürmer;50;8;23;31;0.62;12;9
39;Nummelin Petteri;HC Lugano;Verteidiger;36;7;24;31;0.86;20;-1
40;Bürgler Dario;HC Davos;Stürmer;46;20;10;30;0.65;36;19
41;Spylo Ahren;EHC Biel;Stürmer;45;15;15;30;0.67;43;-1
42;Noreau Maxim;HC Ambri-Piotta;Verteidiger;44;7;23;30;0.68;22;0
43;Bordeleau Sébastien;EHC Biel;Stürmer;42;15;14;29;0.69;22;-2
44;Perrault Joel;HC Ambri-Piotta;Stürmer;50;12;17;29;0.58;56;-19
45;Rubin Daniel;Genève-Servette HC;Stürmer;50;12;17;29;0.58;74;5
46;Plüss Martin;SC Bern;Stürmer;49;11;18;29;0.59;28;4
47;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;45;7;21;28;0.62;10;-15
48;Schnyder Fabian;EV Zug;Stürmer;50;14;13;27;0.54;12;15
49;Polak Vojtech;SCL Tigers;Stürmer;44;13;14;27;0.61;22;6
50;Haas Lukas;SCL Tigers;Stürmer;50;7;20;27;0.54;95;-12
51;Bezina Goran;Genève-Servette HC;Verteidiger;50;7;20;27;0.54;58;-8
52;Pothier Brian;Genève-Servette HC;Verteidiger;50;6;21;27;0.54;32;-8
53;Pirnes Esa;EV Zug;Stürmer;29;12;14;26;0.90;4;-1
54;Lindemann Sven;EV Zug;Stürmer;50;10;16;26;0.52;34;6
55;Pestoni Inti;HC Ambri-Piotta;Stürmer;38;10;16;26;0.68;12;7
56;Rüthemann Ivo;SC Bern;Stürmer;50;9;16;25;0.50;10;1
57;Forster Beat;HC Davos;Verteidiger;37;5;20;25;0.68;40;23
58;Jenni Marcel;Kloten Flyers;Stürmer;48;12;12;24;0.50;65;12
59;Cunti Luca;ZSC Lions;Stürmer;35;11;13;24;0.69;18;10
60;Suri Reto;SC Rapperswil-Jona Lakers;Stürmer;50;11;12;23;0.46;59;-23
61;Beaudoin Eric;EHC Biel;Stürmer;50;11;12;23;0.46;20;5
62;Salmelainen Tony;Genève-Servette HC;Stürmer;30;9;14;23;0.77;6;7
63;Sciaroni Gregory;HC Davos;Stürmer;49;9;14;23;0.47;63;7
64;Burkhalter Loic;SC Rapperswil-Jona Lakers;Stürmer;50;8;15;23;0.46;22;-13
65;Kamber Oliver;HC Lugano;Stürmer;50;6;17;23;0.46;12;-15
66;Blindenbacher Severin;ZSC Lions;Verteidiger;40;5;17;22;0.55;77;18
67;Wick Roman;Kloten Flyers;Stürmer;34;11;10;21;0.62;18;4
68;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;44;8;13;21;0.48;40;-25
69;Furrer Philippe;SC Bern;Verteidiger;43;6;15;21;0.49;48;4
70;Monnet Thibaut;ZSC Lions;Stürmer;48;5;16;21;0.44;4;-3
71;Seger Mathias;ZSC Lions;Verteidiger;43;4;17;21;0.49;30;11
72;Vermin Joël;SC Bern;Stürmer;33;11;9;20;0.61;0;8
73;Simek Juraj;Genève-Servette HC;Stürmer;50;11;9;20;0.40;22;-4
74;Wieser Marc;EHC Biel;Stürmer;46;9;11;20;0.43;47;-1
75;Hirschi Steve;HC Lugano;Verteidiger;40;9;11;20;0.50;24;-1
76;Kwiatkowski Joel;SC Bern;Verteidiger;42;8;12;20;0.48;52;-6
77;Walker Julian;HC Ambri-Piotta;Stürmer;37;7;12;19;0.51;38;-6
78;Truttmann Marco;EHC Biel;Stürmer;46;6;13;19;0.41;8;-4
79;Bodenmann Simon;Kloten Flyers;Stürmer;48;6;13;19;0.40;20;13
80;Bärtschi Patrik;ZSC Lions;Stürmer;48;11;7;18;0.38;8;1
81;Bieber Matthias;Kloten Flyers;Stürmer;43;9;9;18;0.42;6;-5
82;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;44;9;9;18;0.41;54;-13
83;Bucher Tobias;SCL Tigers;Stürmer;46;8;10;18;0.39;14;-7
84;Tschantré Mathieu;EHC Biel;Stürmer;49;8;10;18;0.37;24;-10
85;Riesen Michel;SC Rapperswil-Jona Lakers;Stürmer;35;7;11;18;0.51;4;-9
86;Ruefenacht Thomas;EV Zug;Stürmer;43;7;11;18;0.42;112;11
87;Murray Jordan;SC Rapperswil-Jona Lakers;Stürmer;30;7;11;18;0.60;50;-10
88;Kenins Ronalds;ZSC Lions;Stürmer;47;6;12;18;0.38;48;8
89;Camichel Duri;EV Zug;Stürmer;46;6;12;18;0.39;24;-1
90;Birbaum Alain;Fribourg-Gottéron;Verteidiger;43;4;14;18;0.42;32;7
91;Geering Patrick;ZSC Lions;Verteidiger;47;3;15;18;0.38;20;11
92;Bastl Mark;ZSC Lions;Stürmer;50;9;8;17;0.34;26;1
93;Marha Josef;HC Davos;Stürmer;40;9;8;17;0.42;16;23
94;Loeffel Romain;Fribourg-Gottéron;Verteidiger;49;5;12;17;0.35;28;6
95;Lüthi Fabian;EV Zug;Stürmer;45;5;12;17;0.38;10;8
96;Trachsler Morris;Genève-Servette HC;Stürmer;49;5;12;17;0.35;18;-12
97;Blum Eric-Ray;Kloten Flyers;Verteidiger;39;5;12;17;0.44;20;18
98;Reber Jörg;SCL Tigers;Verteidiger;42;1;16;17;0.40;54;-25
99;Bertschy Christoph;SC Bern;Stürmer;31;8;8;16;0.52;8;6
100;Reid Brandon;SC Rapperswil-Jona Lakers;Stürmer;39;6;10;16;0.41;8;-11
101;Heins Shawn;Fribourg-Gottéron;Verteidiger;39;4;12;16;0.41;69;1
102;Vampola Petr;Genève-Servette HC;Stürmer;23;3;13;16;0.70;26;0
103;Trunz Adrian;HC Ambri-Piotta;Verteidiger;47;0;16;16;0.34;22;-16
104;Wieser Dino;HC Davos;Stürmer;30;10;5;15;0.50;30;10
105;Moggi Claudio;SCL Tigers;Stürmer;42;10;5;15;0.36;40;-3
106;Lemm Romano;Kloten Flyers;Stürmer;18;9;6;15;0.83;10;5
107;Sutter Fabian;EV Zug;Stürmer;47;9;6;15;0.32;22;8
108;Knoepfli Michael;Fribourg-Gottéron;Stürmer;50;8;7;15;0.30;28;-1
109;Botta Roman;HC Ambri-Piotta;Stürmer;48;7;8;15;0.31;8;-8
110;Conne Flavien;HC Lugano;Stürmer;45;6;9;15;0.33;24;-5
111;Down Blaine;ZSC Lions;Stürmer;24;6;9;15;0.62;18;0
112;Murray Brady;HC Lugano;Stürmer;23;6;9;15;0.65;12;0
113;Nylander Michael;Kloten Flyers;Stürmer;23;5;10;15;0.65;12;1
114;Deruns Thomas;SC Bern;Stürmer;40;4;11;15;0.38;6;-5
115;Roche Travis;SC Bern;Verteidiger;25;2;13;15;0.60;8;11
116;Jobin David;SC Bern;Verteidiger;42;1;14;15;0.36;12;3
117;Huguenin Anthony;EHC Biel;Verteidiger;50;0;15;15;0.30;24;-10
118;Vigier Jean-Pierre;SC Bern;Stürmer;37;7;7;14;0.38;24;4
119;Bianchi Elias;HC Ambri-Piotta;Stürmer;50;6;8;14;0.28;36;2
120;Duca Paolo;HC Ambri-Piotta;Stürmer;33;6;8;14;0.42;8;-9
121;Chiesa Alessandro;EV Zug;Verteidiger;48;5;9;14;0.29;91;11
122;Sannitz Raffaele;HC Lugano;Stürmer;43;4;10;14;0.33;32;-3
123;Steinmann Janick;HC Davos;Stürmer;38;3;11;14;0.37;14;2
124;Kparghai Clarence;EHC Biel;Verteidiger;49;7;6;13;0.27;22;-3
125;Raffainer Raeto;HC Ambri-Piotta;Stürmer;50;6;7;13;0.26;18;-11
126;Haas Gaëtan;EHC Biel;Stürmer;43;6;7;13;0.30;10;6
127;Friedli Samuel;Genève-Servette HC;Stürmer;49;6;7;13;0.27;39;0
128;Gerber Adrian;SCL Tigers;Stürmer;50;5;8;13;0.26;14;-2
129;Ehrensperger Gianni;EHC Biel;Stürmer;49;4;9;13;0.27;26;-13
130;Westcott Duvie;Kloten Flyers;Verteidiger;36;3;10;13;0.36;71;11
131;Wichser Adrian;SC Rapperswil-Jona Lakers;Stürmer;25;2;11;13;0.52;2;-7
132;Walser Samuel;Kloten Flyers;Stürmer;46;11;1;12;0.26;12;8
133;Savary Paul;Genève-Servette HC;Stürmer;27;10;2;12;0.44;2;5
134;Hasani Adam;Fribourg-Gottéron;Stürmer;40;8;4;12;0.30;45;5
135;Walsky Eric;Genève-Servette HC;Stürmer;21;5;7;12;0.57;6;0
136;Lakhmatov Vitaly;HC Ambri-Piotta;Stürmer;39;5;7;12;0.31;8;-10
137;Mercier Jonathan;Genève-Servette HC;Verteidiger;45;5;7;12;0.27;30;-1
138;Kariya Martin;HC Ambri-Piotta;Stürmer;14;5;7;12;0.86;2;10
139;Rytz Philippe;SCL Tigers;Verteidiger;44;5;7;12;0.27;67;-13
140;Vauclair Julien;HC Lugano;Verteidiger;41;4;8;12;0.29;28;2
141;Botter Cédric;Fribourg-Gottéron;Stürmer;47;4;8;12;0.26;38;-1
142;Popovic Mark;SCL Tigers;Verteidiger;24;3;9;12;0.50;14;-2
143;Grossmann Robin;HC Davos;Verteidiger;44;1;11;12;0.27;71;16
144;Hänni Andreas;SC Bern;Verteidiger;35;0;12;12;0.34;44;3
145;Vauclair Tristan;Fribourg-Gottéron;Stürmer;44;7;4;11;0.25;16;-2
146;Schäppi Reto;ZSC Lions;Stürmer;45;5;6;11;0.24;10;4
147;Landry Eric;HC Ambri-Piotta;Stürmer;25;5;6;11;0.44;28;-12
148;Geyer Cyrill;SC Rapperswil-Jona Lakers;Verteidiger;50;4;7;11;0.22;10;-29
149;Randegger Flurin;Genève-Servette HC;Verteidiger;44;4;7;11;0.25;33;4
150;Du Bois Felicien;Kloten Flyers;Verteidiger;29;4;7;11;0.38;10;23
151;Genazzi Joël;SCL Tigers;Verteidiger;50;3;8;11;0.22;12;-8
