R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Robitaille Randy;HC Lugano;Stürmer;50;16;49;65;1.30;72;12
2;Holden Josh;EV Zug;Stürmer;46;30;33;63;1.37;48;20
3;Domenichelli Hnat;HC Lugano;Stürmer;50;27;35;62;1.24;16;9
4;Brunner Damien;EV Zug;Stürmer;47;23;35;58;1.23;22;13
5;Salmelainen Tony;Genève-Servette HC;Stürmer;50;25;28;53;1.06;14;14
6;Bärtschi Patrik;ZSC Lions;Stürmer;49;25;28;53;1.08;34;17
7;Roest Stacy;SC Rapperswil-Jona Lakers;Stürmer;49;15;37;52;1.06;26;-1
8;Seger Mathias;ZSC Lions;Verteidiger;47;8;43;51;1.09;80;16
9;Deruns Thomas;Genève-Servette HC;Stürmer;50;19;31;50;1.00;44;16
10;Kolnik Juraj;Genève-Servette HC;Stürmer;46;26;23;49;1.07;93;13
11;Santala Tommi;Kloten Flyers;Stürmer;47;17;32;49;1.04;59;6
12;Hamilton Jeff;HC Lugano;Stürmer;46;22;24;46;1.00;28;3
13;Rintanen Kimmo;Kloten Flyers;Stürmer;48;15;31;46;0.96;26;2
14;Alston Jan;ZSC Lions;Stürmer;49;21;24;45;0.92;48;6
15;Berglund Christian;SC Rapperswil-Jona Lakers;Stürmer;43;23;21;44;1.02;75;5
16;Rüthemann Ivo;SC Bern;Stürmer;50;24;18;42;0.84;14;15
17;Guggisberg Peter;HC Davos;Stürmer;44;20;22;42;0.95;6;28
18;Gardner Ryan;ZSC Lions;Stürmer;49;16;26;42;0.86;28;0
19;Plüss Martin;SC Bern;Stürmer;45;15;27;42;0.93;18;16
20;Von Arx Reto;HC Davos;Stürmer;49;10;32;42;0.86;78;22
21;McTavish Dale;EV Zug;Stürmer;43;22;19;41;0.95;40;4
22;Aubin Serge;Fribourg-Gottéron;Stürmer;49;20;21;41;0.84;62;-4
23;Bordeleau Sébastien;EHC Biel;Stürmer;47;19;21;40;0.85;48;-8
24;Monnet Thibaut;ZSC Lions;Stürmer;49;24;15;39;0.80;42;-2
25;Duca Paolo;HC Ambri-Piotta;Stürmer;50;18;21;39;0.78;40;-11
26;Law Kirby;HC Ambri-Piotta;Stürmer;48;16;23;39;0.81;24;-12
27;Setzinger Oliver;HC Davos;Stürmer;49;16;22;38;0.78;18;7
28;Mowers Mark;Fribourg-Gottéron;Stürmer;42;13;25;38;0.90;20;4
29;Vigier Jean-Pierre;SC Bern;Stürmer;49;13;25;38;0.78;50;19
30;Trudel Jean-Guy;ZSC Lions;Stürmer;37;16;21;37;1.00;16;-2
31;Toms Jeff;Genève-Servette HC;Stürmer;40;8;28;36;0.90;44;8
32;Taticek Petr;HC Davos;Stürmer;48;16;19;35;0.73;22;26
33;Von Gunten Patrick;Kloten Flyers;Verteidiger;50;11;24;35;0.70;30;23
34;Heins Shawn;Fribourg-Gottéron;Verteidiger;48;9;26;35;0.73;78;2
35;Brooks Brendan;SCL Tigers;Stürmer;50;20;14;34;0.68;20;-15
36;Widing Daniel;HC Davos;Stürmer;45;19;15;34;0.76;34;18
37;Sejna Peter;ZSC Lions;Stürmer;38;17;17;34;0.89;2;8
38;Christen Björn;EV Zug;Stürmer;49;14;20;34;0.69;48;10
39;Schnyder Fabian;EV Zug;Stürmer;49;10;24;34;0.69;26;12
40;Savary Paul;Genève-Servette HC;Stürmer;50;9;25;34;0.68;30;11
41;Bürgler Dario;HC Davos;Stürmer;50;17;16;33;0.66;14;1
42;Rubin Daniel;Genève-Servette HC;Stürmer;50;17;16;33;0.66;93;13
43;McLean Brett;SC Bern;Stürmer;34;13;20;33;0.97;24;13
44;Marha Josef;HC Davos;Stürmer;48;11;22;33;0.69;30;33
45;Pöck Thomas;SC Rapperswil-Jona Lakers;Verteidiger;49;11;22;33;0.67;58;-7
46;Wick Roman;Kloten Flyers;Stürmer;37;15;16;31;0.84;8;6
47;Fata Rico;EHC Biel;Stürmer;41;15;16;31;0.76;28;-9
48;Forster Beat;HC Davos;Verteidiger;50;13;18;31;0.62;97;22
49;Wichser Adrian;ZSC Lions;Stürmer;32;9;22;31;0.97;10;10
50;Pittis Domenico;ZSC Lions;Stürmer;37;7;24;31;0.84;48;4
51;Diaz Raphael;EV Zug;Verteidiger;49;4;27;31;0.63;22;8
52;Daigle Alexandre;SCL Tigers;Stürmer;31;9;21;30;0.97;2;-12
53;Roche Travis;SC Bern;Verteidiger;47;8;22;30;0.64;50;27
54;Riesen Michel;SC Rapperswil-Jona Lakers;Stürmer;41;11;18;29;0.71;12;-1
55;Camenzind Andreas;SCL Tigers;Verteidiger;47;9;20;29;0.62;42;-15
56;Vauclair Julien;HC Lugano;Verteidiger;35;13;15;28;0.80;64;-5
57;Jenni Marcel;Kloten Flyers;Stürmer;49;8;20;28;0.57;40;12
58;Helfenstein Sven;SCL Tigers;Stürmer;44;8;20;28;0.64;32;-3
59;Naumenko Nicholas;SCL Tigers;Verteidiger;50;6;22;28;0.56;30;-7
60;Bell Mark;Kloten Flyers;Stürmer;39;13;14;27;0.69;69;6
61;Forrest Justin;Kloten Flyers;Verteidiger;30;7;20;27;0.90;18;12
62;Stancescu Victor;Kloten Flyers;Stürmer;48;19;7;26;0.54;42;10
63;Casutt Corsin;Fribourg-Gottéron;Stürmer;49;15;11;26;0.53;20;-2
64;Neuenschwander Caryl;SC Bern;Stürmer;50;11;15;26;0.52;20;8
65;Westrum Erik;HC Ambri-Piotta;Stürmer;40;10;16;26;0.65;40;-16
66;Sprunger Julien;Fribourg-Gottéron;Stürmer;28;9;17;26;0.93;10;11
67;Jeannin Sandy;Fribourg-Gottéron;Stürmer;32;9;17;26;0.81;34;1
68;Brown Curtis;EHC Biel;Stürmer;49;9;17;26;0.53;24;-19
69;Bezina Goran;Genève-Servette HC;Verteidiger;47;7;19;26;0.55;34;11
70;Plüss Benny;Fribourg-Gottéron;Stürmer;43;10;15;25;0.58;67;5
71;Truttmann Marco;EHC Biel;Stürmer;43;7;18;25;0.58;18;-14
72;Dupont Micki;EV Zug;Verteidiger;46;7;18;25;0.54;48;3
73;Lindemann Sven;Kloten Flyers;Stürmer;50;7;18;25;0.50;61;15
74;Nordgren Niklas;SC Rapperswil-Jona Lakers;Stürmer;39;6;19;25;0.64;8;1
75;Moggi Sandro;SCL Tigers;Stürmer;49;5;20;25;0.51;16;-4
76;Suchy Radoslav;ZSC Lions;Verteidiger;44;2;23;25;0.57;28;-3
77;Sutter Fabian;SCL Tigers;Stürmer;48;10;14;24;0.50;24;-2
78;Nüssli Thomas;EHC Biel;Stürmer;35;13;10;23;0.66;26;-11
79;Di Pietro Paul;EV Zug;Stürmer;49;9;14;23;0.47;16;-5
80;Bastl Mark;ZSC Lions;Stürmer;49;9;14;23;0.47;24;8
81;Murphy Curtis;SCL Tigers;Verteidiger;50;7;16;23;0.46;32;-11
82;Nummelin Petteri;HC Lugano;Verteidiger;34;7;16;23;0.68;10;3
83;Bykov Andrey;Fribourg-Gottéron;Stürmer;33;4;19;23;0.70;12;-2
84;Knoepfli Michael;Fribourg-Gottéron;Stürmer;49;14;8;22;0.45;12;-13
85;Bieber Matthias;SCL Tigers;Stürmer;36;14;8;22;0.61;28;-7
86;Gamache Simon;SC Bern;Stürmer;30;9;13;22;0.73;16;9
87;Lötscher Kevin;EHC Biel;Verteidiger;50;7;15;22;0.44;8;-16
88;Kutlak Zdenek;HC Ambri-Piotta;Verteidiger;46;7;15;22;0.48;38;-5
89;Oppliger Patrick;EV Zug;Stürmer;49;7;15;22;0.45;63;10
90;Walker Julian;HC Ambri-Piotta;Stürmer;48;6;16;22;0.46;40;1
91;Moggi Claudio;SCL Tigers;Stürmer;34;12;9;21;0.62;26;-1
92;Murovic Mirko;HC Ambri-Piotta;Stürmer;49;12;9;21;0.43;28;-11
93;Josi Roman;SC Bern;Verteidiger;26;9;12;21;0.81;12;5
94;Zeiter Michel;Kloten Flyers;Stürmer;43;8;13;21;0.49;38;-3
