Team,Year,GF,SOG,S%,SOG/GP,PK SI,PK SI/GP,PK GA,PK GA/GP,PK%,PKT,PK time/GP,SHG,PK GF/GP,GF/GP,GA,GA/GP,GF even,GF even/GP,GA even,GA even/GP,PPG,PPG/GP,PP GA,PP GA/GP,SOWGF,SOWGA,2' ,5',10',GM,MP,PIM Total,PP OP,PP OP/GP,PP%,PPT,PP time/GP,Number of year
Genève-Servette HC,0910,166,1'066,15.57,21,250,5.0,33,0.66,86.8,385:33,07:42,11,0.22,3.32,113,2.26,111,2.22,74,1.48,40,0.8,4,0.08,4,2,302,5,15,5,1,899,250,5.0,16.0,381:57,07:38,1
Genève-Servette HC,1011,129,1'250,10.32,25,208,4.16,33,0.66,84.13,319:44,06:23,5,0.1,2.58,128,2.56,93,1.86,85,1.7,30,0.6,5,0.1,1,5,239,1,10,5,0,683,216,4.32,13.89,344:57,06:53,1
Genève-Servette HC,1112,117,1'519,7.7,30,186,3.72,22,0.44,88.17,316:34,06:19,6,0.12,2.34,126,2.52,80,1.6,89,1.78,27,0.54,7,0.14,4,8,220,4,8,5,0,640,209,4.18,12.92,349:18,06:59,1
Genève-Servette HC,1213,146,1'540,9.48,31,249,4.98,34,0.68,86.35,402:27,08:02,11,0.22,2.92,139,2.78,106,2.12,100,2.0,28,0.56,4,0.08,1,1,284,1,15,1,1,763,218,4.36,12.84,354:43,07:05,1
Genève-Servette HC,1314,158,1'558,10.14,31,210,4.2,34,0.68,83.81,343:07,06:51,8,0.16,3.16,133,2.66,111,2.22,92,1.84,34,0.68,6,0.12,5,1,237,13,12,12,1,919,200,4.0,17.0,311:53,06:14,1
Genève-Servette HC,1415,154,1'572,9.8,31,178,3.56,30,0.6,83.15,291:57,05:50,9,0.18,3.08,154,3.08,109,2.18,108,2.16,33,0.66,10,0.2,3,6,212,2,4,2,0,514,164,3.28,20.12,266:11,05:19,1
Genève-Servette HC,1516,160,1'594,10.04,32,207,4.14,35,0.7,83.09,320:19,06:24,6,0.12,3.2,138,2.76,107,2.14,97,1.94,44,0.88,5,0.1,3,1,229,4,5,6,0,648,175,3.5,25.14,277:42,05:33,1
HC Ambri-Piotta,0910,107,1'073,9.97,21,214,4.28,49,0.98,77.1,327:06,06:32,3,0.06,2.14,187,3.74,71,1.42,126,2.52,31,0.62,9,0.18,2,3,250,0,11,0,0,610,217,4.34,14.29,360:50,07:13,1
HC Ambri-Piotta,1011,99,898,11.02,18,157,3.14,37,0.74,76.43,251:29,05:01,4,0.08,1.98,172,3.44,58,1.16,127,2.54,36,0.72,6,0.12,1,2,178,1,7,2,0,471,222,4.44,16.22,365:50,07:19,1
HC Ambri-Piotta,1112,102,1'168,8.73,23,182,3.64,37,0.74,79.67,289:54,05:47,2,0.04,2.04,153,3.06,64,1.28,106,2.12,34,0.68,5,0.1,2,5,210,2,8,2,1,570,226,4.52,15.04,369:19,07:23,1
HC Ambri-Piotta,1213,128,1'447,8.85,29,195,3.9,38,0.76,80.51,309:03,06:10,4,0.08,2.56,178,3.56,93,1.86,136,2.72,27,0.54,2,0.04,4,2,218,1,8,3,0,581,181,3.62,14.92,304:32,06:05,1
HC Ambri-Piotta,1314,126,1'367,9.22,27,179,3.58,29,0.58,83.8,288:22,05:46,5,0.1,2.52,123,2.46,82,1.64,86,1.72,36,0.72,5,0.1,3,3,201,1,4,2,0,487,219,4.38,16.44,353:51,07:04,1
HC Ambri-Piotta,1415,124,1'378,9.0,28,196,3.92,37,0.74,81.12,313:36,06:16,5,0.1,2.48,167,3.34,86,1.72,124,2.48,28,0.56,2,0.04,5,4,229,2,2,2,0,528,178,3.56,15.73,299:12,05:59,1
HC Ambri-Piotta,1516,144,1'483,9.71,30,182,3.64,40,0.8,78.02,278:31,05:34,4,0.08,2.88,166,3.32,111,2.22,116,2.32,28,0.56,6,0.12,1,4,196,5,3,5,0,547,175,3.5,16.0,277:58,05:33,1
HC Davos,0910,181,1'460,12.4,29,256,5.12,39,0.78,84.77,409:00,08:10,10,0.2,3.62,124,2.48,125,2.5,82,1.64,43,0.86,1,0.02,3,2,296,4,16,5,1,892,230,4.6,18.7,345:46,06:54,1
HC Davos,1011,179,1'308,13.69,26,247,4.94,28,0.56,88.66,412:18,08:14,13,0.26,3.58,103,2.06,128,2.56,67,1.34,35,0.7,7,0.14,3,1,289,5,9,3,2,793,203,4.06,17.24,330:01,06:36,1
HC Davos,1112,155,1'329,11.66,27,227,4.54,35,0.7,84.58,372:11,07:26,11,0.22,3.1,117,2.34,112,2.24,78,1.56,29,0.58,1,0.02,3,3,254,4,7,3,2,698,182,3.64,15.93,293:07,05:51,1
HC Davos,1213,170,1'548,10.98,31,240,4.8,36,0.72,85.0,401:03,08:01,7,0.14,3.4,152,3.04,121,2.42,102,2.04,39,0.78,10,0.2,3,4,266,4,9,3,1,722,190,3.8,20.53,309:13,06:11,1
HC Davos,1314,151,1'462,10.33,29,204,4.08,30,0.6,85.29,328:33,06:34,7,0.14,3.02,133,2.66,108,2.16,99,1.98,31,0.62,3,0.06,5,1,223,1,10,1,0,571,173,3.46,17.92,266:40,05:20,1
HC Davos,1415,164,1'528,10.73,31,206,4.12,30,0.6,85.44,326:36,06:31,7,0.14,3.28,132,2.64,128,2.56,93,1.86,26,0.52,4,0.08,3,5,242,3,2,3,0,579,185,3.7,14.05,298:34,05:58,1
HC Davos,1516,181,1'459,12.41,29,190,3.8,26,0.52,86.32,308:20,06:10,10,0.2,3.62,142,2.84,135,2.7,112,2.24,33,0.66,3,0.06,3,1,217,4,10,7,0,694,176,3.52,18.75,285:06,05:42,1
HC Lugano,0910,153,1'468,10.42,29,203,4.06,50,1.0,75.37,325:42,06:30,3,0.06,3.06,166,3.32,103,2.06,105,2.1,44,0.88,7,0.14,3,4,234,5,16,7,1,813,212,4.24,20.75,335:22,06:42,1
HC Lugano,1011,130,1'625,8.0,32,215,4.3,40,0.8,81.4,335:10,06:42,5,0.1,2.6,159,3.18,86,1.72,112,2.24,36,0.72,5,0.1,3,2,249,1,8,2,0,623,188,3.76,19.15,311:54,06:14,1
HC Lugano,1112,152,1'400,10.86,28,184,3.68,32,0.64,82.61,292:12,05:50,9,0.18,3.04,150,3.0,93,1.86,109,2.18,45,0.9,6,0.12,5,3,206,1,4,1,0,477,207,4.14,21.74,332:59,06:39,1
HC Lugano,1213,163,1'696,9.61,34,220,4.4,41,0.82,81.36,312:49,06:15,4,0.08,3.26,139,2.78,113,2.26,89,1.78,44,0.88,7,0.14,2,2,231,1,8,1,0,567,230,4.6,19.13,355:07,07:06,1
HC Lugano,1314,142,1'527,9.3,31,197,3.94,28,0.56,85.79,316:29,06:19,5,0.1,2.84,114,2.28,93,1.86,82,1.64,41,0.82,3,0.06,3,1,235,3,9,5,0,675,230,4.6,17.83,355:52,07:07,1
HC Lugano,1415,155,1'446,10.72,29,182,3.64,29,0.58,84.07,301:54,06:02,2,0.04,3.1,127,2.54,102,2.04,92,1.84,45,0.9,4,0.08,6,2,229,4,5,5,0,628,236,4.72,19.07,367:12,07:20,1
HC Lugano,1516,157,1'518,10.34,30,179,3.58,33,0.66,81.56,294:48,05:53,4,0.08,3.14,150,3.0,118,2.36,111,2.22,31,0.62,5,0.1,4,1,213,6,1,7,0,606,189,3.78,16.4,297:15,05:56,1
Kloten Flyers,0910,163,1'553,10.5,31,237,4.74,44,0.88,81.43,356:03,07:07,7,0.14,3.26,138,2.76,104,2.08,90,1.8,46,0.92,2,0.04,6,2,270,4,7,3,1,710,236,4.72,19.49,361:49,07:14,1
Kloten Flyers,1011,170,1'626,10.46,33,210,4.2,30,0.6,85.71,334:09,06:40,12,0.24,3.4,111,2.22,110,2.2,73,1.46,44,0.88,5,0.1,4,3,284,1,14,2,0,753,243,4.86,18.11,392:49,07:51,1
Kloten Flyers,1112,158,1'608,9.83,32,206,4.12,35,0.7,83.01,337:00,06:44,8,0.16,3.16,117,2.34,111,2.22,78,1.56,38,0.76,2,0.04,1,2,266,4,6,4,0,692,209,4.18,18.18,319:51,06:23,1
Kloten Flyers,1213,151,1'781,8.48,36,221,4.42,40,0.8,81.9,354:18,07:05,5,0.1,3.02,137,2.74,115,2.3,90,1.8,26,0.52,3,0.06,5,4,245,5,12,4,2,755,212,4.24,12.26,347:48,06:57,1
Kloten Flyers,1314,147,1'637,8.98,33,200,4.0,28,0.56,86.0,313:27,06:16,6,0.12,2.94,121,2.42,98,1.96,92,1.84,38,0.76,1,0.02,5,0,237,4,10,5,0,694,194,3.88,19.59,292:19,05:50,1
Kloten Flyers,1415,117,1'489,7.86,30,199,3.98,44,0.88,77.89,300:35,06:00,4,0.08,2.34,144,2.88,80,1.6,94,1.88,29,0.58,3,0.06,4,3,222,1,2,1,0,489,189,3.78,15.34,291:25,05:49,1
Kloten Flyers,1516,154,1'657,9.29,33,168,3.36,39,0.78,76.79,269:53,05:23,6,0.12,3.08,150,3.0,110,2.2,109,2.18,35,0.7,2,0.04,3,0,188,2,3,2,0,456,159,3.18,22.01,269:32,05:23,1
Lausanne HC,1314,104,1'280,8.12,26,188,3.76,28,0.56,85.11,308:36,06:10,6,0.12,2.08,115,2.3,62,1.24,79,1.58,34,0.68,5,0.1,2,3,212,2,9,2,0,564,185,3.7,18.38,300:49,06:00,1
Lausanne HC,1415,105,1'468,7.15,29,169,3.38,34,0.68,79.88,279:37,05:35,2,0.04,2.1,116,2.32,70,1.4,72,1.44,29,0.58,6,0.12,4,4,186,3,4,5,0,527,185,3.7,15.68,307:37,06:09,1
Lausanne HC,1516,123,1'553,7.92,31,172,3.44,36,0.72,79.07,278:37,05:34,1,0.02,2.46,143,2.86,88,1.76,98,1.96,30,0.6,7,0.14,4,2,185,2,1,2,0,430,179,3.58,16.76,286:26,05:43,1
SC Bern,0910,154,1'558,9.88,31,200,4.0,28,0.56,86.0,324:07,06:28,4,0.08,3.08,117,2.34,113,2.26,82,1.64,34,0.68,3,0.06,3,4,243,2,10,2,0,636,198,3.96,17.17,321:27,06:25,1
SC Bern,1011,160,1'755,9.12,35,184,3.68,26,0.52,85.87,307:42,06:09,5,0.1,3.2,117,2.34,119,2.38,86,1.72,30,0.6,2,0.04,6,3,213,1,6,1,0,511,178,3.56,16.85,283:40,05:40,1
SC Bern,1112,153,1'632,9.38,33,195,3.9,24,0.48,87.69,318:28,06:22,2,0.04,3.06,130,2.6,110,2.2,99,1.98,36,0.72,4,0.08,5,3,220,3,5,2,1,565,179,3.58,20.11,279:59,05:35,1
SC Bern,1213,169,1'792,9.43,36,201,4.02,29,0.58,85.57,327:35,06:33,6,0.12,3.38,117,2.34,111,2.22,72,1.44,50,1.0,12,0.24,2,4,219,1,7,1,0,533,235,4.7,21.28,373:11,07:27,1
SC Bern,1314,126,1'497,8.42,30,187,3.74,32,0.64,82.89,294:59,05:53,4,0.08,2.52,129,2.58,87,1.74,92,1.84,34,0.68,3,0.06,1,2,204,4,7,5,0,598,191,3.82,17.8,301:10,06:01,1
SC Bern,1415,158,1'489,10.61,30,184,3.68,27,0.54,85.33,316:50,06:20,3,0.06,3.16,120,2.4,117,2.34,83,1.66,35,0.7,5,0.1,3,5,222,5,2,5,0,589,175,3.5,20.0,281:47,05:38,1
SC Bern,1516,152,1'702,8.93,34,190,3.8,37,0.74,80.53,290:28,05:48,4,0.08,3.04,162,3.24,95,1.9,117,2.34,51,1.02,3,0.06,2,5,233,4,7,4,0,636,212,4.24,24.06,319:24,06:23,1
SC Rapperswil-Jona Lakers,0910,129,1'244,10.37,25,196,3.92,42,0.84,78.57,312:42,06:15,4,0.08,2.58,154,3.08,89,1.78,104,2.08,36,0.72,6,0.12,0,2,221,1,6,1,0,527,196,3.92,18.37,298:32,05:58,1
SC Rapperswil-Jona Lakers,1011,138,1'199,11.51,24,219,4.38,47,0.94,78.54,346:16,06:55,3,0.06,2.76,184,3.68,100,2.0,125,2.5,32,0.64,6,0.12,3,6,245,2,10,2,0,640,178,3.56,17.98,291:45,05:50,1
SC Rapperswil-Jona Lakers,1112,99,1'250,7.92,25,199,3.98,35,0.7,82.41,328:30,06:34,2,0.04,1.98,172,3.44,68,1.36,128,2.56,28,0.56,9,0.18,1,0,213,5,10,5,1,671,172,3.44,16.28,274:54,05:29,1
SC Rapperswil-Jona Lakers,1213,139,1'505,9.24,30,206,4.12,43,0.86,79.13,320:56,06:25,3,0.06,2.78,207,4.14,96,1.92,158,3.16,38,0.76,4,0.08,2,2,219,0,11,0,0,548,212,4.24,17.92,322:04,06:26,1
SC Rapperswil-Jona Lakers,1314,117,1'559,7.5,31,203,4.06,53,1.06,73.89,312:33,06:15,1,0.02,2.34,200,4.0,92,1.84,135,2.7,23,0.46,7,0.14,1,5,236,1,11,2,0,627,208,4.16,11.06,336:41,06:44,1
SC Rapperswil-Jona Lakers,1415,121,1'577,7.67,32,192,3.84,30,0.6,84.38,307:15,06:08,4,0.08,2.42,165,3.3,72,1.44,124,2.48,41,0.82,6,0.12,4,5,218,0,4,2,0,516,199,3.98,20.6,313:26,06:16,1
SCL Tigers,0910,141,1'277,11.04,26,206,4.12,42,0.84,79.61,309:52,06:11,3,0.06,2.82,192,3.84,94,1.88,136,2.72,42,0.84,10,0.2,2,4,221,0,4,1,0,502,237,4.74,17.72,382:57,07:39,1
SCL Tigers,1011,149,1'482,10.05,30,179,3.58,33,0.66,81.56,286:42,05:44,4,0.08,2.98,154,3.08,105,2.1,108,2.16,37,0.74,8,0.16,3,5,216,3,7,3,1,597,221,4.42,16.74,354:09,07:04,1
SCL Tigers,1112,124,1'508,8.22,30,209,4.18,46,0.92,77.99,336:18,06:43,4,0.08,2.48,166,3.32,89,1.78,111,2.22,29,0.58,7,0.14,2,2,236,5,18,6,0,797,203,4.06,14.29,333:43,06:40,1
SCL Tigers,1213,117,1'552,7.54,31,234,4.68,51,1.02,78.21,351:58,07:02,4,0.08,2.34,192,3.84,72,1.44,130,2.6,39,0.78,6,0.12,2,5,255,3,12,5,0,745,243,4.86,16.05,364:42,07:17,1
SCL Tigers,1516,135,1'436,9.4,29,210,4.2,43,0.86,79.52,339:10,06:47,0,0.0,2.7,173,3.46,103,2.06,124,2.48,29,0.58,5,0.1,3,1,225,4,1,4,0,560,182,3.64,15.93,304:38,06:05,1
ZSC Lions,0910,185,1'593,11.61,32,217,4.34,42,0.84,80.65,315:15,06:18,5,0.1,3.7,165,3.3,133,2.66,104,2.08,45,0.9,10,0.2,2,4,261,0,9,0,0,612,227,4.54,19.82,349:38,06:59,1
ZSC Lions,1011,132,1'411,9.36,28,218,4.36,37,0.74,83.03,354:43,07:05,1,0.02,2.64,156,3.12,91,1.82,110,2.2,36,0.72,4,0.08,4,5,264,4,11,4,0,738,212,4.24,16.98,343:34,06:52,1
ZSC Lions,1112,136,1'465,9.28,29,185,3.7,35,0.7,81.08,311:06,06:13,7,0.14,2.72,129,2.58,106,2.12,89,1.78,19,0.38,3,0.06,4,2,203,1,9,1,0,521,196,3.92,9.69,332:43,06:39,1
ZSC Lions,1213,152,1'548,9.82,31,190,3.8,35,0.7,81.58,292:48,05:51,9,0.18,3.04,131,2.62,108,2.16,93,1.86,33,0.66,1,0.02,2,2,211,1,4,1,0,487,203,4.06,16.26,320:55,06:25,1
ZSC Lions,1314,167,1'495,11.17,30,186,3.72,31,0.62,83.33,298:05,05:57,6,0.12,3.34,111,2.22,120,2.4,68,1.36,41,0.82,6,0.12,0,6,218,0,9,3,0,586,192,3.84,21.35,295:47,05:54,1
ZSC Lions,1415,148,1'503,9.85,30,187,3.74,27,0.54,85.56,304:27,06:05,3,0.06,2.96,106,2.12,115,2.3,73,1.46,28,0.56,1,0.02,2,5,213,1,1,1,0,461,180,3.6,15.56,290:49,05:48,1
ZSC Lions,1516,173,1'712,10.11,34,170,3.4,36,0.72,78.82,284:27,05:41,6,0.12,3.46,125,2.5,122,2.44,81,1.62,45,0.9,2,0.04,0,6,191,2,1,3,0,462,179,3.58,25.14,278:23,05:34,1
