Spieler,Pos,Team,year,GP,G,A,PTS,P/GP,PIM Total,+/-,Number of year,A1,A2,GWG,EQG,EQA,PPG,PPA,SHG,SHA,SOG,S%,SOG/GP,2' ,5',10',GM,MP
Vukovic Daniel,Defender,Genève-Servette HC,08-09,4,0,0,0,0.0,20,0,1,0,0,0,0,0,0,0,0,0,2,0,0.5,5,0,1,0,0
Vukovic Daniel,Defender,Genève-Servette HC,09-10,20,0,1,1,0.05,20,0,1,1,0,0,0,1,0,0,0,0,6,0,0.3,5,0,1,0,0
Vukovic Daniel,Defender,Genève-Servette HC,10-11,6,0,0,0,0.0,12,2,1,0,0,0,0,0,0,0,0,0,12,0,2.0,6,0,0,0,0
Vukovic Daniel,Defender,Genève-Servette HC,12-13,7,1,1,2,0.29,4,1,1,1,0,0,1,1,0,0,0,0,14,7.14,2.0,2,0,0,0,0
Vukovic Daniel,Defender,Genève-Servette HC,13-14,12,1,4,5,0.42,8,0,1,3,1,0,1,4,0,0,0,0,18,5.56,1.5,4,0,0,0,0
Vukovic Daniel,Defender,Genève-Servette HC,14-15,12,1,1,2,0.17,2,2,1,0,1,0,0,1,0,0,1,0,25,4,2.08,1,0,0,0,0
Vukovic Daniel,Defender,Genève-Servette HC,15-16,11,1,0,1,0.09,0,1,1,0,0,0,1,0,0,0,0,0,20,5,1.82,0,0,0,0,0
Walker Julian,Forward,Genève-Servette HC,12-13,7,1,0,1,0.14,4,-5,1,0,0,0,1,0,0,0,0,0,13,7.69,1.86,2,0,0,0,0
Walker Julian,Forward,HC Lugano,13-14,4,0,0,0,0.0,20,-1,1,0,0,0,0,0,0,0,0,0,7,0,1.75,5,0,1,0,0
Walker Julian,Forward,HC Lugano,14-15,6,1,2,3,0.5,4,3,1,0,2,0,0,2,1,0,0,0,9,11.11,1.5,2,0,0,0,0
Walker Julian,Forward,HC Lugano,15-16,15,1,1,2,0.13,6,-2,1,1,0,0,0,1,0,0,1,0,23,4.35,1.53,3,0,0,0,0
Walser Samuel,Forward,HC Davos,13-14,6,0,0,0,0.0,4,0,1,0,0,0,0,0,0,0,0,0,13,0,2.17,2,0,0,0,0
Walser Samuel,Forward,HC Davos,14-15,15,3,3,6,0.4,6,5,1,2,1,1,3,3,0,0,0,0,23,13.04,1.53,3,0,0,0,0
Walser Samuel,Forward,HC Davos,15-16,8,1,1,2,0.25,4,2,1,1,0,0,1,0,0,1,0,0,11,9.09,1.38,2,0,0,0,0
Walser Samuel,Forward,Kloten Flyers,10-11,17,1,1,2,0.12,2,-3,1,0,1,0,1,1,0,0,0,0,30,3.33,1.76,1,0,0,0,0
Walser Samuel,Forward,Kloten Flyers,11-12,5,0,0,0,0.0,10,0,1,0,0,0,0,0,0,0,0,0,5,0,1.0,0,0,1,0,0
Walser Thomas,Forward,Kloten Flyers,08-09,15,1,0,1,0.07,8,3,1,0,0,0,1,0,0,0,0,0,13,7.69,0.87,4,0,0,0,0
Walsky Eric,Forward,Genève-Servette HC,10-11,6,5,5,10,1.67,2,1,1,5,0,1,4,1,1,3,0,1,20,25,3.33,1,0,0,0,0
Walsky Eric,Forward,Genève-Servette HC,12-13,2,0,0,0,0.0,0,-1,1,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0
Walsky Eric,Forward,HC Lugano,13-14,5,0,0,0,0.0,2,-2,1,0,0,0,0,0,0,0,0,0,7,0,1.4,1,0,0,0,0
Wellinger Thomas,Defender,EHC Biel,12-13,3,0,0,0,0.0,2,-3,1,0,0,0,0,0,0,0,0,0,6,0,2.0,1,0,0,0,0
Wellinger Thomas,Defender,EHC Biel,14-15,7,0,0,0,0.0,2,-3,1,0,0,0,0,0,0,0,0,0,11,0,1.57,1,0,0,0,0
Wellinger Thomas,Defender,HC Davos,09-10,4,0,0,0,0.0,2,-2,1,0,0,0,0,0,0,0,0,0,0,-,0.0,1,0,0,0,0
Welti Marc,Defender,Kloten Flyers,08-09,15,0,1,1,0.07,10,-4,1,0,1,0,0,1,0,0,0,0,3,0,0.2,5,0,0,0,0
Welti Marc,Defender,Kloten Flyers,10-11,16,0,0,0,0.0,6,1,1,0,0,0,0,0,0,0,0,0,9,0,0.56,3,0,0,0,0
Westcott Duvie,Defender,Kloten Flyers,11-12,5,0,0,0,0.0,8,2,1,0,0,0,0,0,0,0,0,0,9,0,1.8,4,0,0,0,0
Westcott Duvie,Defender,ZSC Lions,10-11,5,0,3,3,0.6,8,-1,1,0,3,0,0,1,0,2,0,0,10,0,2.0,4,0,0,0,0
Wetzel Philipp,Forward,EHC Biel,11-12,5,2,0,2,0.4,6,-2,1,0,0,1,1,0,1,0,0,0,6,33.33,1.2,3,0,0,0,0
Wetzel Philipp,Forward,EHC Biel,12-13,7,1,1,2,0.29,8,-4,1,1,0,0,1,1,0,0,0,0,10,10,1.43,4,0,0,0,0
Wetzel Philipp,Forward,EHC Biel,14-15,7,1,1,2,0.29,2,-1,1,0,1,1,1,1,0,0,0,0,6,16.67,0.86,1,0,0,0,0
Wichser Adrian,Forward,ZSC Lions,09-10,7,2,3,5,0.71,0,0,1,2,1,1,1,3,0,0,1,0,8,25,1.14,0,0,0,0,0
Wichser Adrian,Forward,ZSC Lions,10-11,5,0,1,1,0.2,2,-1,1,1,0,0,0,1,0,0,0,0,4,0,0.8,1,0,0,0,0
Wick Jeremy,Forward,Genève-Servette HC,14-15,11,2,2,4,0.36,31,-4,1,1,1,0,2,1,0,1,0,0,24,8.33,2.18,3,1,0,1,0
