R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;EHC Biel;50;126;2.52;213;4.26;94;1.88;145;2.90;29;0.58;13;0.26;3;0.06;55;1.10;0;0
2;EV Zug;50;171;3.42;166;3.32;114;2.28;112;2.24;49;0.98;8;0.16;8;0.16;46;0.92;0;0
3;Fribourg-Gottéron;50;154;3.08;143;2.86;99;1.98;84;1.68;47;0.94;5;0.10;8;0.16;54;1.08;0;0
4;Genève-Servette HC;50;157;3.14;140;2.80;110;2.20;91;1.82;42;0.84;7;0.14;5;0.10;42;0.84;0;0
5;HC Ambri-Piotta;50;129;2.58;190;3.80;83;1.66;124;2.48;41;0.82;10;0.20;5;0.10;56;1.12;0;0
6;HC Davos;50;184;3.68;135;2.70;124;2.48;89;1.78;53;1.06;3;0.06;7;0.14;43;0.86;0;0
7;HC Lugano;50;175;3.50;156;3.12;101;2.02;100;2.00;68;1.36;8;0.16;6;0.12;48;0.96;0;0
8;Kloten Flyers;50;174;3.48;130;2.60;110;2.20;85;1.70;53;1.06;3;0.06;11;0.22;42;0.84;0;0
9;SC Bern;50;187;3.74;136;2.72;120;2.40;82;1.64;55;1.10;3;0.06;12;0.24;51;1.02;0;0
10;SC Rapperswil-Jona Lakers;50;143;2.86;208;4.16;94;1.88;136;2.72;46;0.92;9;0.18;3;0.06;63;1.26;0;0
11;SCL Tigers;50;170;3.40;180;3.60;104;2.08;107;2.14;59;1.18;9;0.18;7;0.14;64;1.28;0;0
12;ZSC Lions;50;176;3.52;149;2.98;108;2.16;106;2.12;59;1.18;6;0.12;9;0.18;37;0.74;0;0
;Durchschnitt;50;162;3.24;162;3.24;105;2.10;105;2.10;50;1.00;7;0.14;7;0.14;50;1.00;0;0
