R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;ZSC Lions;50;167;3.34;111;2.22;120;2.40;68;1.36;41;0.82;6;0.12;6;0.12;31;0.62;0;6
2;Genève-Servette HC;50;158;3.16;133;2.66;111;2.22;92;1.84;34;0.68;6;0.12;8;0.16;34;0.68;5;1
3;Fribourg-Gottéron;50;151;3.02;147;2.94;115;2.30;104;2.08;32;0.64;10;0.20;2;0.04;30;0.60;2;3
4;HC Davos;50;151;3.02;133;2.66;108;2.16;99;1.98;31;0.62;3;0.06;7;0.14;30;0.60;5;1
5;Kloten Flyers;50;147;2.94;121;2.42;98;1.96;92;1.84;38;0.76;1;0.02;6;0.12;28;0.56;5;0
6;HC Lugano;50;142;2.84;114;2.28;93;1.86;82;1.64;41;0.82;3;0.06;5;0.10;28;0.56;3;1
;Durchschnitt;50;136;2.72;136;2.72;94;1.88;94;1.88;33;0.66;5;0.10;5;0.10;33;0.66;2;2
7;EV Zug;50;132;2.64;156;3.12;95;1.90;98;1.96;30;0.60;4;0.08;6;0.12;47;0.94;1;7
8;HC Ambri-Piotta;50;126;2.52;123;2.46;82;1.64;86;1.72;36;0.72;5;0.10;5;0.10;29;0.58;3;3
9;SC Bern;50;126;2.52;129;2.58;87;1.74;92;1.84;34;0.68;3;0.06;4;0.08;32;0.64;1;2
10;SC Rapperswil-Jona Lakers;50;117;2.34;200;4.00;92;1.84;135;2.70;23;0.46;7;0.14;1;0.02;53;1.06;1;5
11;EHC Biel;50;115;2.30;154;3.08;74;1.48;110;2.20;30;0.60;8;0.16;5;0.10;34;0.68;6;2
12;Lausanne HC;50;104;2.08;115;2.30;62;1.24;79;1.58;34;0.68;5;0.10;6;0.12;28;0.56;2;3
