R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;EV Zug;50;172;3.44;154;3.08;114;2.28;101;2.02;51;1.02;7;0.14;4;0.08;42;0.84;3;4
2;HC Davos;50;170;3.40;152;3.04;121;2.42;102;2.04;39;0.78;10;0.20;7;0.14;36;0.72;3;4
3;SC Bern;50;169;3.38;117;2.34;111;2.22;72;1.44;50;1.00;12;0.24;6;0.12;29;0.58;2;4
4;Fribourg-Gottéron;50;163;3.26;123;2.46;109;2.18;81;1.62;45;0.90;3;0.06;2;0.04;35;0.70;7;4
5;HC Lugano;50;163;3.26;139;2.78;113;2.26;89;1.78;44;0.88;7;0.14;4;0.08;41;0.82;2;2
6;EHC Biel;50;160;3.20;161;3.22;112;2.24;118;2.36;37;0.74;7;0.14;7;0.14;33;0.66;4;3
7;ZSC Lions;50;152;3.04;131;2.62;108;2.16;93;1.86;33;0.66;1;0.02;9;0.18;35;0.70;2;2
;Durchschnitt;50;152;3.04;152;3.04;105;2.10;105;2.10;38;0.76;5;0.10;5;0.10;38;0.76;3;3
8;Kloten Flyers;50;151;3.02;137;2.74;115;2.30;90;1.80;26;0.52;3;0.06;5;0.10;40;0.80;5;4
9;Genève-Servette HC;50;146;2.92;139;2.78;106;2.12;100;2.00;28;0.56;4;0.08;11;0.22;34;0.68;1;1
10;SC Rapperswil-Jona Lakers;50;139;2.78;207;4.14;96;1.92;158;3.16;38;0.76;4;0.08;3;0.06;43;0.86;2;2
11;HC Ambri-Piotta;50;128;2.56;178;3.56;93;1.86;136;2.72;27;0.54;2;0.04;4;0.08;38;0.76;4;2
12;SCL Tigers;50;117;2.34;192;3.84;72;1.44;130;2.60;39;0.78;6;0.12;4;0.08;51;1.02;2;5
