R;Team;GP;GF;GF/GP;GA;GA/GP;GF even;GF even/GP;GA even;GA even/GP;PPG;PPG/GP;PP GA;PP GA/GP;SHG;PK GF/GP;PK GA;PK GA/GP;SOWGF;SOWGA
1;HC Davos;50;181;3.62;142;2.84;135;2.70;112;2.24;33;0.66;3;0.06;10;0.20;26;0.52;3;1
2;ZSC Lions;50;173;3.46;125;2.50;122;2.44;81;1.62;45;0.90;2;0.04;6;0.12;36;0.72;0;6
3;EV Zug;50;161;3.22;138;2.76;113;2.26;98;1.96;43;0.86;3;0.06;3;0.06;34;0.68;2;3
4;Genève-Servette HC;50;160;3.20;138;2.76;107;2.14;97;1.94;44;0.88;5;0.10;6;0.12;35;0.70;3;1
5;HC Lugano;50;157;3.14;150;3.00;118;2.36;111;2.22;31;0.62;5;0.10;4;0.08;33;0.66;4;1
6;Kloten Flyers;50;154;3.08;150;3.00;110;2.20;109;2.18;35;0.70;2;0.04;6;0.12;39;0.78;3;0
7;SC Bern;50;152;3.04;162;3.24;95;1.90;117;2.34;51;1.02;3;0.06;4;0.08;37;0.74;2;5
;Durchschnitt;50;151;3.02;151;3.02;106;2.12;106;2.12;37;0.74;4;0.08;4;0.08;37;0.74;2;2
8;Fribourg-Gottéron;50;148;2.96;154;3.08;101;2.02;104;2.08;40;0.80;6;0.12;5;0.10;41;0.82;2;3
9;HC Ambri-Piotta;50;144;2.88;166;3.32;111;2.22;116;2.32;28;0.56;6;0.12;4;0.08;40;0.80;1;4
10;SCL Tigers;50;135;2.70;173;3.46;103;2.06;124;2.48;29;0.58;5;0.10;0;0.00;43;0.86;3;1
11;EHC Biel;50;128;2.56;175;3.50;79;1.58;115;2.30;44;0.88;5;0.10;3;0.06;53;1.06;2;2
12;Lausanne HC;50;123;2.46;143;2.86;88;1.76;98;1.96;30;0.60;7;0.14;1;0.02;36;0.72;4;2
