R;Team;GP;GF;SOG;S%;SOG/GP
1;EHC Basel Sharks;45;138;0;-;0
2;EHC Olten;45;192;0;-;0
3;EHC Visp;45;153;0;-;0
4;GCK Lions;45;133;0;-;0
5;HC Ajoie;45;141;0;-;0
6;HC La Chaux-de-Fonds;45;175;0;-;0
7;HC Sierre;45;149;0;-;0
8;Hockey Thurgau;45;133;0;-;0
9;Lausanne HC;45;159;0;-;0
10;SC Langenthal;45;173;0;-;0
;Durchschnitt;45;154;0;-;0
