R;Team;GP;GF;SOG;S%;SOG/GP
1;HC Ajoie;45;171;1'758;9.73;39
2;SC Rapperswil-Jona Lakers;45;162;1'713;9.46;38
3;SC Langenthal;45;164;1'624;10.10;36
4;HC La Chaux-de-Fonds;45;157;1'569;10.01;35
;Durchschnitt;45;143;1'440;9.93;32
5;EHC Olten;45;178;1'383;12.87;31
6;EHC Visp;45;164;1'344;12.20;30
7;EHC Winterthur;45;99;1'304;7.59;29
8;Hockey Thurgau;45;124;1'300;9.54;29
9;HC Red Ice;45;113;1'264;8.94;28
10;GCK Lions;45;107;1'142;9.37;25
