R;Team;GP;GF;SOG;S%;SOG/GP
1;EHC Basel Sharks;45;144;0;-;0
2;EHC Olten;45;166;0;-;0
3;EHC Visp;45;163;0;-;0
4;GCK Lions;45;113;0;-;0
5;HC Ajoie;45;123;0;-;0
6;HC La Chaux-de-Fonds;45;151;0;-;0
7;HC Red Ice;45;138;0;-;0
8;Hockey Thurgau;45;144;0;-;0
9;SC Langenthal;45;145;0;-;0
10;SCL Tigers;45;139;0;-;0
;Durchschnitt;45;142;0;-;0
