R;Team;GP;GF;SOG;S%;SOG/GP
1;EHC Basel Sharks;45;111;0;-;0
2;EHC Olten;45;187;0;-;0
3;EHC Visp;45;224;0;-;0
4;GCK Lions;45;123;0;-;0
5;HC Ajoie;45;157;0;-;0
6;HC La Chaux-de-Fonds;45;177;0;-;0
7;HC Sierre;45;161;0;-;0
8;Hockey Thurgau;45;131;0;-;0
9;Lausanne HC;45;166;0;-;0
10;Neuchâtel;0;0;0;-;-
11;SC Langenthal;45;124;0;-;0
;Durchschnitt;40;141;0;-;0
