R;Team;GP;GF;SOG;S%;SOG/GP
1;EHC Olten;48;160;0;-;0
2;EHC Visp;48;190;0;-;0
3;GCK Lions;48;124;0;-;0
4;HC Ajoie;48;137;0;-;0
5;HC La Chaux-de-Fonds;48;157;0;-;0
6;HC Red Ice;48;147;0;-;0
7;Hockey Thurgau;48;112;0;-;0
8;SC Langenthal;48;140;0;-;0
9;SCL Tigers;48;182;0;-;0
;Durchschnitt;48;149;0;-;0
