R;Team;GP;GF;SOG;S%;SOG/GP
1;EHC Basel Sharks;50;138;0;-;0
2;EHC Olten;50;217;0;-;0
3;EHC Visp;50;194;0;-;0
4;GCK Lions;50;155;0;-;0
5;HC Ajoie;50;187;0;-;0
6;HC La Chaux-de-Fonds;50;189;0;-;0
7;HC Red Ice;50;151;0;-;0
8;HC Sierre;50;103;0;-;0
9;Hockey Thurgau;50;121;0;-;0
10;Lausanne HC;50;203;0;-;0
11;SC Langenthal;50;182;0;-;0
;Durchschnitt;50;167;0;-;0
