R;Team;GP;GF;SOG;S%;SOG/GP
1;EHC Basel Sharks;45;132;0;-;0
2;EHC Olten;45;152;0;-;0
3;EHC Visp;45;170;0;-;0
4;GCK Lions;45;122;0;-;0
5;HC Ajoie;45;119;0;-;0
6;HC La Chaux-de-Fonds;45;155;0;-;0
7;HC Sierre;45;114;0;-;0
8;Hockey Thurgau;45;118;0;-;0
9;Lausanne HC;45;186;0;-;0
10;SC Langenthal;45;157;0;-;0
;Durchschnitt;45;142;0;-;0
