R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Lombardi Matthew;Genève-Servette HC;Stürmer;46;20;30;50;1.09;54;17
2;Wick Roman;ZSC Lions;Stürmer;47;23;25;48;1.02;58;21
3;Mueller Peter;Kloten Flyers;Stürmer;49;24;22;46;0.94;12;19
4;Daugavins Kaspars;Genève-Servette HC;Stürmer;44;18;26;44;1.00;22;23
5;Cunti Luca;ZSC Lions;Stürmer;46;18;26;44;0.96;60;16
6;McLean Brett;HC Lugano;Stürmer;50;18;26;44;0.88;52;4
7;Hytönen Juha-Pekka;Lausanne HC;Stürmer;49;16;23;39;0.80;8;-1
8;Santala Tommi;Kloten Flyers;Stürmer;39;14;25;39;1.00;44;21
9;Plüss Benny;Fribourg-Gottéron;Stürmer;49;21;17;38;0.78;40;13
10;Earl Robbie;EV Zug;Stürmer;46;20;18;38;0.83;26;-7
11;Giroux Alexandre;HC Ambri-Piotta;Stürmer;46;20;18;38;0.83;64;-4
12;Spylo Ahren;EHC Biel;Stürmer;47;16;22;38;0.81;30;-10
13;Hollenstein Denis;Genève-Servette HC;Stürmer;41;10;27;37;0.90;53;8
14;Plüss Martin;SC Bern;Stürmer;45;14;22;36;0.80;26;8
15;Suri Reto;EV Zug;Stürmer;48;12;24;36;0.75;28;3
16;Schremp Robert;EV Zug;Stürmer;42;9;27;36;0.86;8;4
17;Pestoni Inti;HC Ambri-Piotta;Stürmer;49;7;29;36;0.73;36;6
18;Paulsson Marcus;HC Davos;Stürmer;44;24;11;35;0.80;10;7
19;Metropolit Glen;SC Bern;Stürmer;43;7;28;35;0.81;14;-3
20;Almond Cody;Genève-Servette HC;Stürmer;44;18;16;34;0.77;75;12
21;Romy Kevin;Genève-Servette HC;Stürmer;49;11;23;34;0.69;14;-4
22;Nilsson Robert;ZSC Lions;Stürmer;31;10;24;34;1.10;12;8
23;Setzinger Oliver;Lausanne HC;Stürmer;50;9;25;34;0.68;40;-5
24;Bieber Matthias;Kloten Flyers;Stürmer;50;16;17;33;0.66;6;25
25;Holden Josh;EV Zug;Stürmer;39;13;20;33;0.85;81;0
26;Sprunger Julien;Fribourg-Gottéron;Stürmer;49;12;21;33;0.67;32;-3
27;Bergeron Marc-André;ZSC Lions;Verteidiger;46;7;26;33;0.72;40;28
28;Bezina Goran;Genève-Servette HC;Verteidiger;50;8;24;32;0.64;81;9
29;Liniger Michael;Kloten Flyers;Stürmer;48;9;22;31;0.65;34;-8
30;Simek Juraj;Genève-Servette HC;Stürmer;50;9;22;31;0.62;67;7
31;Gardner Ryan;SC Bern;Stürmer;48;9;21;30;0.62;12;15
32;Pouliot Marc-Antoine;Fribourg-Gottéron;Stürmer;40;8;22;30;0.75;38;-1
33;Shannon Ryan;ZSC Lions;Stürmer;49;7;23;30;0.61;24;9
34;Monnet Thibaut;Fribourg-Gottéron;Stürmer;49;15;14;29;0.59;26;-13
35;Park Richard;HC Ambri-Piotta;Stürmer;41;12;17;29;0.71;22;5
36;Bodenmann Simon;Kloten Flyers;Stürmer;38;11;18;29;0.76;32;6
37;Persson Niklas;SC Rapperswil-Jona Lakers;Stürmer;45;11;18;29;0.64;16;-7
38;Picard Alexandre;Genève-Servette HC;Stürmer;41;10;19;29;0.71;144;5
39;Ambühl Andres;HC Davos;Stürmer;49;8;21;29;0.59;44;9
40;Dupont Micki;Kloten Flyers;Verteidiger;48;7;22;29;0.60;64;20
41;Bärtschi Patrik;ZSC Lions;Stürmer;44;21;7;28;0.64;22;13
42;Bang Daniel;Lausanne HC;Stürmer;47;14;14;28;0.60;39;5
43;Mauldin Greg;Fribourg-Gottéron;Stürmer;43;13;15;28;0.65;18;2
44;Guggisberg Peter;HC Davos;Stürmer;35;11;17;28;0.80;4;4
45;Micflikier Jacob;HC Lugano;Stürmer;35;16;11;27;0.77;45;13
46;Martschini Lino;EV Zug;Stürmer;50;15;12;27;0.54;2;4
47;Ritchie Byron;SC Bern;Stürmer;43;11;16;27;0.63;84;-7
48;Wieser Dino;HC Davos;Stürmer;45;15;11;26;0.58;30;8
49;Lindgren Perttu;HC Davos;Stürmer;48;13;13;26;0.54;16;2
50;Bürgler Dario;HC Davos;Stürmer;50;9;17;26;0.52;18;3
51;Genoway Colby;Lausanne HC;Stürmer;42;7;19;26;0.62;44;-9
52;Scherwey Tristan;SC Bern;Stürmer;49;15;10;25;0.51;36;4
53;Bastl Mark;ZSC Lions;Stürmer;50;13;12;25;0.50;28;7
54;Kenins Ronalds;ZSC Lions;Stürmer;39;8;17;25;0.64;40;15
55;Steiner Daniel;HC Ambri-Piotta;Stürmer;50;12;12;24;0.48;18;-4
56;Domenichelli Hnat;SC Bern;Stürmer;42;12;12;24;0.57;10;-15
57;Mottet Killian;Fribourg-Gottéron;Stürmer;49;10;14;24;0.49;16;1
58;Noreau Maxim;HC Ambri-Piotta;Verteidiger;35;8;16;24;0.69;28;6
59;Heikkinen Ilkka;HC Lugano;Verteidiger;41;7;17;24;0.59;34;-7
60;Kamber Oliver;EHC Biel;Stürmer;50;5;19;24;0.48;26;-11
61;Schäppi Reto;ZSC Lions;Stürmer;49;10;13;23;0.47;16;7
62;Kinrade Geoff;SC Bern;Verteidiger;48;6;17;23;0.48;57;14
63;Stancescu Victor;Kloten Flyers;Stürmer;47;12;10;22;0.47;71;-17
64;Mieville Alain;HC Ambri-Piotta;Stürmer;42;10;12;22;0.52;32;1
65;Christen Björn;EV Zug;Stürmer;50;8;14;22;0.44;22;-3
66;Miettinen Antti;Fribourg-Gottéron;Stürmer;34;7;15;22;0.65;8;-4
67;Kwiatkowski Joel;Fribourg-Gottéron;Verteidiger;49;5;17;22;0.45;54;19
68;Bykov Andrey;Fribourg-Gottéron;Stürmer;34;4;18;22;0.65;4;-1
69;Wieser Marc;EHC Biel;Stürmer;47;13;8;21;0.45;26;-16
70;Reichert Marc;HC Ambri-Piotta;Stürmer;47;13;8;21;0.45;6;-2
71;Keller Ryan;ZSC Lions;Stürmer;37;11;10;21;0.57;18;6
72;Ruefenacht Thomas;HC Lugano;Stürmer;37;11;10;21;0.57;76;2
73;Walser Derrick;SC Rapperswil-Jona Lakers;Verteidiger;35;8;13;21;0.60;50;-12
74;Ulmer Stefan;HC Lugano;Verteidiger;47;7;14;21;0.45;24;19
75;Blum Eric-Ray;Kloten Flyers;Verteidiger;46;6;15;21;0.46;32;10
76;Petrell Lennart;Genève-Servette HC;Stürmer;50;5;16;21;0.42;24;11
77;Roche Travis;SC Bern;Verteidiger;38;5;16;21;0.55;49;-8
78;Sejna Peter;SC Rapperswil-Jona Lakers;Stürmer;48;11;9;20;0.42;18;-23
79;Dubé Christian;Fribourg-Gottéron;Stürmer;36;8;12;20;0.56;8;0
80;Sutter Fabian;EV Zug;Stürmer;46;7;13;20;0.43;28;3
81;Gobbi John;Lausanne HC;Verteidiger;50;5;15;20;0.40;54;0
82;MacMurchy Ryan;EHC Biel;Stürmer;40;11;8;19;0.48;28;1
83;Walser Samuel;HC Davos;Stürmer;50;9;10;19;0.38;18;6
84;Froidevaux Etienne;Lausanne HC;Stürmer;49;9;10;19;0.39;14;-1
85;Deruns Thomas;Lausanne HC;Stürmer;50;9;10;19;0.38;14;-3
86;Hasani Adam;Fribourg-Gottéron;Stürmer;40;8;11;19;0.48;22;7
87;Pettersson Fredrik;HC Lugano;Stürmer;20;7;12;19;0.95;2;2
88;Walker Julian;HC Lugano;Stürmer;49;7;12;19;0.39;71;-2
89;Kostner Diego;HC Lugano;Stürmer;41;6;13;19;0.46;16;15
90;Von Arx Reto;HC Davos;Stürmer;41;5;14;19;0.46;42;3
91;Seger Mathias;ZSC Lions;Verteidiger;45;5;14;19;0.42;66;19
92;Schnyder Fabian;EV Zug;Stürmer;50;11;7;18;0.36;49;2
93;Beaudoin Eric;EHC Biel;Stürmer;24;10;8;18;0.75;16;-8
94;Williams Jason;HC Ambri-Piotta;Stürmer;32;8;10;18;0.56;12;-13
95;Koistinen Ville;HC Davos;Verteidiger;43;8;10;18;0.42;36;4
96;Hürlimann Stefan;SC Rapperswil-Jona Lakers;Stürmer;50;6;12;18;0.36;38;-13
