R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
1;Bouchard Pierre-Marc;EV Zug;Stürmer;49;12;55;67;1.37;20;6
2;Lindgren Perttu;HC Davos;Stürmer;50;22;40;62;1.24;20;34
3;Martschini Lino;EV Zug;Stürmer;50;26;28;54;1.08;6;6
4;Conacher Cory;SC Bern;Stürmer;48;22;30;52;1.08;68;0
5;Nilsson Robert;ZSC Lions;Stürmer;48;12;40;52;1.08;16;22
6;Wieser Marc;HC Davos;Stürmer;50;24;25;49;0.98;20;24
7;Klasen Linus;HC Lugano;Stürmer;49;14;35;49;1.00;18;7
8;Pettersson Fredrik;HC Lugano;Stürmer;50;26;22;48;0.96;52;4
9;Holden Josh;EV Zug;Stürmer;48;18;30;48;1.00;20;7
10;Matthews Auston;ZSC Lions;Stürmer;36;24;22;46;1.28;6;16
11;Pesonen Harri;Lausanne HC;Stürmer;50;22;24;46;0.92;18;3
12;Immonen Jarkko;EV Zug;Stürmer;49;24;17;41;0.84;22;5
13;Ambühl Andres;HC Davos;Stürmer;50;14;27;41;0.82;30;11
14;D'Agostini Matt;Genève-Servette HC;Stürmer;46;20;20;40;0.87;47;3
15;Pestoni Inti;HC Ambri-Piotta;Stürmer;50;15;25;40;0.80;12;0
16;Santala Tommi;Kloten Flyers;Stürmer;48;13;26;39;0.81;50;6
17;Axelsson Dick;HC Davos;Stürmer;38;10;29;39;1.03;62;23
18;DiDomenico Christopher;SCL Tigers;Stürmer;46;12;26;38;0.83;42;-11
19;Sondell Daniel;EV Zug;Verteidiger;48;4;34;38;0.79;10;1
20;Clark Kevin;SCL Tigers;Stürmer;42;18;19;37;0.88;53;-10
21;Hollenstein Denis;Kloten Flyers;Stürmer;43;14;23;37;0.86;38;7
22;Mäenpää Mikko;HC Ambri-Piotta;Verteidiger;46;6;31;37;0.80;16;14
23;Sprunger Julien;Fribourg-Gottéron;Stürmer;43;25;11;36;0.84;20;0
24;Giroux Alexandre;HC Ambri-Piotta;Stürmer;48;17;19;36;0.75;28;4
25;Emmerton Cory;HC Ambri-Piotta;Stürmer;49;15;21;36;0.73;10;1
26;Danielsson Nicklas;Lausanne HC;Stürmer;49;12;23;35;0.71;20;-1
27;Martensson Tony;HC Lugano;Stürmer;42;11;24;35;0.83;22;15
28;Shannon Ryan;ZSC Lions;Stürmer;42;9;26;35;0.83;6;4
29;Suri Reto;EV Zug;Stürmer;48;18;16;34;0.71;73;7
30;Brunner Damien;HC Lugano;Stürmer;36;13;21;34;0.94;18;16
31;Romy Kevin;Genève-Servette HC;Stürmer;49;11;23;34;0.69;12;1
32;Bykov Andrey;Fribourg-Gottéron;Stürmer;43;8;26;34;0.79;10;-1
33;Praplan Vincent;Kloten Flyers;Stürmer;50;18;15;33;0.66;4;10
34;Moser Simon;SC Bern;Stürmer;50;16;17;33;0.66;48;-9
35;Loeffel Romain;Genève-Servette HC;Verteidiger;50;6;27;33;0.66;52;-1
36;Plüss Martin;SC Bern;Stürmer;50;16;16;32;0.64;18;-12
37;Hofmann Gregory;HC Lugano;Stürmer;46;17;14;31;0.67;47;3
38;Keller Ryan;ZSC Lions;Stürmer;47;18;12;30;0.64;22;10
39;Bieber Matthias;Kloten Flyers;Stürmer;48;15;15;30;0.62;12;-6
40;Mottet Killian;Fribourg-Gottéron;Stürmer;50;12;18;30;0.60;62;-4
41;Roy Derek;SC Bern;Stürmer;36;9;21;30;0.83;26;0
42;Pyatt Tom;Genève-Servette HC;Stürmer;42;11;18;29;0.69;8;6
43;Jörg Mauro;HC Davos;Stürmer;47;11;18;29;0.62;4;0
44;Wieser Dino;HC Davos;Stürmer;43;9;20;29;0.67;63;8
45;Gustafsson Erik;Kloten Flyers;Verteidiger;48;3;26;29;0.60;18;-2
46;Slater Jim;Genève-Servette HC;Stürmer;32;15;13;28;0.88;22;7
47;Froidevaux Etienne;Lausanne HC;Stürmer;50;15;13;28;0.56;22;-9
48;Louhivaara Ossi;Lausanne HC;Stürmer;43;12;16;28;0.65;18;1
49;Blum Eric-Ray;SC Bern;Verteidiger;35;4;24;28;0.80;12;-5
50;Kolarik Chad;Kloten Flyers;Stürmer;36;15;12;27;0.75;14;-8
