R;Spieler;Team;Pos;GP;G;A;PTS;P/GP;PIM Total;+/-
277;Frick Lukas;Kloten Flyers;Verteidiger;21;1;2;3;0.14;4;-2
278;Berger Nils;SC Rapperswil-Jona Lakers;Stürmer;38;1;2;3;0.08;10;-6
279;Gloor Kevin;EHC Biel;Verteidiger;38;1;2;3;0.08;4;3
280;Kienzle Lorenz;HC Lugano;Verteidiger;40;1;2;3;0.08;20;2
281;Di Pietro Paul;HC Lugano;Stürmer;15;0;3;3;0.20;4;1
282;Raffainer Raeto;HC Ambri-Piotta;Stürmer;38;0;3;3;0.08;20;-10
283;Campoli Chris;EHC Biel;Verteidiger;4;0;3;3;0.75;2;8
284;Stettler Martin;SCL Tigers;Verteidiger;31;0;3;3;0.10;16;-11
285;Stoffel Andri;ZSC Lions;Verteidiger;34;0;3;3;0.09;14;1
286;Füglister Jeffrey;EHC Biel;Stürmer;34;2;0;2;0.06;2;-5
287;Linglet Charles;HC Lugano;Stürmer;5;2;0;2;0.40;0;-2
288;Camichel Corsin;HC Davos;Stürmer;15;1;1;2;0.13;0;-6
289;Dal Pian Giacomo;HC Lugano;Stürmer;7;1;1;2;0.29;0;2
290;Ehlers Nikolaj;EHC Biel;Stürmer;11;1;1;2;0.18;0;1
291;Leone Robin;Kloten Flyers;Stürmer;30;1;1;2;0.07;10;3
292;Moser Christian;SCL Tigers;Verteidiger;47;1;1;2;0.04;22;-4
293;Neher Lars;Kloten Flyers;Stürmer;39;1;1;2;0.05;10;-1
294;Bonnet Julien;HC Ambri-Piotta;Verteidiger;36;1;1;2;0.06;26;-12
295;Casserini Giacomo;HC Ambri-Piotta;Verteidiger;23;1;1;2;0.09;4;-14
296;Schäublin Olivier;Fribourg-Gottéron;Verteidiger;5;1;1;2;0.40;0;0
297;Grassi Daniele;HC Ambri-Piotta;Stürmer;22;0;2;2;0.09;0;-6
298;Schulthess Marc;HC Ambri-Piotta;Verteidiger;42;0;2;2;0.05;10;-10
299;Von Arx Jan;HC Davos;Verteidiger;20;0;2;2;0.10;22;1
300;Sterchi Simon;SCL Tigers;Stürmer;26;0;2;2;0.08;2;-9
301;Winkler Benjamin;SC Rapperswil-Jona Lakers;Verteidiger;29;0;2;2;0.07;20;-12
302;Camperchioli Luca;SC Rapperswil-Jona Lakers;Verteidiger;20;1;0;1;0.05;4;-11
303;Hächler Cedric;ZSC Lions;Verteidiger;4;1;0;1;0.25;0;0
304;Merola Melvin;Fribourg-Gottéron;Stürmer;31;1;0;1;0.03;0;-6
305;Pacioretty Max;HC Ambri-Piotta;Stürmer;5;1;0;1;0.20;4;-2
306;Sutter Sebastian;EHC Biel;Stürmer;21;1;0;1;0.05;0;1
307;Carle Mathieu;Genève-Servette HC;Verteidiger;12;0;1;1;0.08;2;-3
308;Corvi Enzo;HC Davos;Stürmer;31;0;1;1;0.03;6;-4
309;Erni Samuel;EV Zug;Verteidiger;5;0;1;1;0.20;4;1
310;Fretter Colton;Kloten Flyers;Stürmer;2;0;1;1;0.50;2;0
311;Kreis Samuel;SC Bern;Verteidiger;7;0;1;1;0.14;0;1
312;McCarthy Steve;ZSC Lions;Verteidiger;8;0;1;1;0.12;6;1
313;Polak Vojtech;HC Davos;Stürmer;5;0;1;1;0.20;2;-2
314;Untersander Ramon;EHC Biel;Verteidiger;29;0;1;1;0.03;10;-2
315;Weber Tim;HC Ambri-Piotta;Stürmer;34;0;1;1;0.03;6;-14
316;Blatter Florian;HC Lugano;Verteidiger;6;0;1;1;0.17;0;1
317;Grauwiler Lukas;SC Bern;Stürmer;17;0;1;1;0.06;8;-7
318;Grossniklaus Tim;SC Bern;Verteidiger;2;0;1;1;0.50;0;-1
319;Kubina Pavel;Genève-Servette HC;Verteidiger;3;0;1;1;0.33;4;0
320;Loichat Michaël;SC Bern;Stürmer;5;0;1;1;0.20;0;-1
321;Zangger Sandro;ZSC Lions;Stürmer;11;0;1;1;0.09;0;-4
322;Antonietti Eliot;Genève-Servette HC;Verteidiger;39;0;0;0;0.00;4;-2
323;Bagnoud Christopher;Kloten Flyers;Verteidiger;43;0;0;0;0.00;8;3
324;Berthon Eliot;Genève-Servette HC;Stürmer;10;0;0;0;0.00;0;-4
325;Büsser Thomas;SC Rapperswil-Jona Lakers;Verteidiger;16;0;0;0;0.00;4;-6
326;Cadonau Claudio;EHC Biel;Verteidiger;1;0;0;0;0.00;0;0
327;Dähler Florian;Fribourg-Gottéron;Stürmer;1;0;0;0;0.00;0;0
328;Donati Gianni;HC Ambri-Piotta;Stürmer;10;0;0;0;0.00;0;-2
329;Dotti Isacco;HC Ambri-Piotta;Verteidiger;12;0;0;0;0.00;10;-6
330;Eigenmann Daniel;EHC Biel;Verteidiger;1;0;0;0;0.00;0;-1
331;Erb Raphael;Fribourg-Gottéron;Verteidiger;1;0;0;0;0.00;0;0
332;Frei Lars;SC Rapperswil-Jona Lakers;Stürmer;1;0;0;0;0.00;0;-1
333;Gähler Jorden;Kloten Flyers;Verteidiger;9;0;0;0;0.00;0;-2
334;Gerber Lukas;Fribourg-Gottéron;Verteidiger;20;0;0;0;0.00;22;1
335;Gerber Tom;SCL Tigers;Stürmer;5;0;0;0;0.00;0;0
336;Gianinazzi Luca;HC Lugano;Verteidiger;4;0;0;0;0.00;0;0
337;Giroux Ray;HC Ambri-Piotta;Verteidiger;4;0;0;0;0.00;2;0
338;Heldstab Beat;SC Bern;Verteidiger;1;0;0;0;0.00;0;-2
339;Hoehener Martin;HC Ambri-Piotta;Verteidiger;8;0;0;0;0.00;10;-2
340;Hoffmann Luka;Kloten Flyers;Stürmer;13;0;0;0;0.00;0;-3
341;Jeitziner Alexander;Fribourg-Gottéron;Verteidiger;6;0;0;0;0.00;0;0
342;Kamerzin Jérémie;Genève-Servette HC;Verteidiger;5;0;0;0;0.00;2;1
343;Kast Timothy;Fribourg-Gottéron;Stürmer;1;0;0;0;0.00;0;0
344;Küng Vincenzo;HC Davos;Stürmer;1;0;0;0;0.00;0;-1
345;Lampman Bryce;SCL Tigers;Verteidiger;5;0;0;0;0.00;2;-2
346;Leonelli Nicolas;Genève-Servette HC;Stürmer;1;0;0;0;0.00;0;0
347;Lüthi Valentin;SCL Tigers;Verteidiger;6;0;0;0;0.00;2;0
348;Marzan Nicolas;SC Rapperswil-Jona Lakers;Verteidiger;9;0;0;0;0.00;0;-1
349;Montandon Arnaud;SCL Tigers;Stürmer;1;0;0;0;0.00;0;0
350;Mora Loic;Genève-Servette HC;Stürmer;2;0;0;0;0.00;0;0
351;Müller Marco;SC Bern;Stürmer;8;0;0;0;0.00;0;0
352;Müller Pascal;Kloten Flyers;Verteidiger;21;0;0;0;0.00;8;-4
353;Neuenschwander Jan;HC Davos;Stürmer;2;0;0;0;0.00;0;0
354;Paschoud Claude-C.;HC Davos;Verteidiger;2;0;0;0;0.00;0;0
355;Praplan Vincent;Kloten Flyers;Stürmer;5;0;0;0;0.00;0;-1
356;Ranov Anton;HC Davos;Stürmer;2;0;0;0;0.00;0;0
357;Rossi Matthias;EV Zug;Stürmer;16;0;0;0;0.00;2;0
358;Rouiller Anthony;EHC Biel;Verteidiger;11;0;0;0;0.00;10;-5
359;Rühl Daniel;EV Zug;Verteidiger;1;0;0;0;0.00;0;0
360;Sataric Rajan;EHC Biel;Verteidiger;2;0;0;0;0.00;0;0
361;Savary Jean;Genève-Servette HC;Stürmer;12;0;0;0;0.00;4;-1
362;Schefer Philipp;EV Zug;Verteidiger;13;0;0;0;0.00;4;1
363;Schmuckli Florian;EV Zug;Verteidiger;11;0;0;0;0.00;0;-1
364;Schmutz Julian;SC Bern;Stürmer;5;0;0;0;0.00;0;-1
365;Sutter Dave;Genève-Servette HC;Verteidiger;3;0;0;0;0.00;2;1
366;Thöny Gian-Andrea;SC Rapperswil-Jona Lakers;Stürmer;16;0;0;0;0.00;2;-3
367;Tremblay Alexandre;ZSC Lions;Stürmer;1;0;0;0;0.00;0;0
368;Ulmann Tim;ZSC Lions;Stürmer;1;0;0;0;0.00;0;0
369;Welti Marc;SC Rapperswil-Jona Lakers;Verteidiger;23;0;0;0;0.00;12;-10
370;Wenger Michael;SCL Tigers;Stürmer;3;0;0;0;0.00;0;0
371;Widmer Steven;ZSC Lions;Stürmer;2;0;0;0;0.00;0;0
372;Wildhaber David;Fribourg-Gottéron;Verteidiger;3;0;0;0;0.00;0;0
373;Wyss Silvan;EHC Biel;Stürmer;1;0;0;0;0.00;0;0
374;Zandovskis Juris;Fribourg-Gottéron;Stürmer;1;0;0;0;0.00;0;0
375;Zubler Patrick;EV Zug;Verteidiger;30;0;0;0;0.00;6;0
