R;Team;GP;GF;SOG;S%;SOG/GP
1;SC Bern;50;153;1'632;9.38;33
2;EV Zug;50;173;1'623;10.66;32
3;Kloten Flyers;50;158;1'608;9.83;32
4;Fribourg-Gottéron;50;156;1'586;9.84;32
5;EHC Biel;50;114;1'584;7.20;32
6;Genève-Servette HC;50;117;1'519;7.70;30
7;SCL Tigers;50;124;1'508;8.22;30
;Durchschnitt;50;136;1'472;9.24;29
8;ZSC Lions;50;136;1'465;9.28;29
9;HC Lugano;50;152;1'400;10.86;28
10;HC Davos;50;155;1'329;11.66;27
11;SC Rapperswil-Jona Lakers;50;99;1'250;7.92;25
12;HC Ambri-Piotta;50;102;1'168;8.73;23
