R;Team;GP;GF;SOG;S%;SOG/GP
1;SC Bern;50;169;1'792;9.43;36
2;Kloten Flyers;50;151;1'781;8.48;36
3;EHC Biel;50;160;1'733;9.23;35
4;HC Lugano;50;163;1'696;9.61;34
;Durchschnitt;50;152;1'602;9.49;32
5;Fribourg-Gottéron;50;163;1'568;10.40;31
6;SCL Tigers;50;117;1'552;7.54;31
7;HC Davos;50;170;1'548;10.98;31
8;ZSC Lions;50;152;1'548;9.82;31
9;Genève-Servette HC;50;146;1'540;9.48;31
10;EV Zug;50;172;1'515;11.35;30
11;SC Rapperswil-Jona Lakers;50;139;1'505;9.24;30
12;HC Ambri-Piotta;50;128;1'447;8.85;29
