R;Team;GP;GF;SOG;S%;SOG/GP
1;EV Zug;50;165;1'881;8.77;38
2;Fribourg-Gottéron;50;145;1'735;8.36;35
3;ZSC Lions;50;185;1'593;11.61;32
4;SC Bern;50;154;1'558;9.88;31
5;Kloten Flyers;50;163;1'553;10.50;31
6;HC Lugano;50;153;1'468;10.42;29
7;HC Davos;50;181;1'460;12.40;29
;Durchschnitt;50;151;1'437;10.51;29
8;EHC Biel;50;134;1'340;10;27
9;SCL Tigers;50;141;1'277;11.04;26
10;SC Rapperswil-Jona Lakers;50;129;1'244;10.37;25
11;HC Ambri-Piotta;50;107;1'073;9.97;21
12;Genève-Servette HC;50;166;1'066;15.57;21
