R;Team;GP;GF;SOG;S%;SOG/GP
1;EHC Biel;50;115;1'760;6.53;35
2;EV Zug;50;132;1'721;7.67;34
3;Kloten Flyers;50;147;1'637;8.98;33
4;Fribourg-Gottéron;50;151;1'616;9.34;32
5;SC Rapperswil-Jona Lakers;50;117;1'559;7.50;31
6;Genève-Servette HC;50;158;1'558;10.14;31
;Durchschnitt;50;136;1'539;8.84;31
7;HC Lugano;50;142;1'527;9.30;31
8;SC Bern;50;126;1'497;8.42;30
9;ZSC Lions;50;167;1'495;11.17;30
10;HC Davos;50;151;1'462;10.33;29
11;HC Ambri-Piotta;50;126;1'367;9.22;27
12;Lausanne HC;50;104;1'280;8.12;26
